modality,stem,image_path,mask_path,width,height,foreground_ratio,size_bucket,brightness_mean,contrast_std,lesion_bg_rgb_distance,boundary_gray_diff,specular_ratio,laplacian_var,boundary_complexity,elongation,bbox_width,bbox_height,risk_score,risk_types
WL,gas_108181137699c6f4,WL/images/gas_108181137699c6f4.jpg,WL/masks/gas_108181137699c6f4.png,525,478,0.07343693962940825,medium_1-10%,72.76952362060547,51.26793670654297,106.03368377685547,0.88983154296875,0.0030085674437138874,173.6218719482422,10.725325712755321,1.55,217,140,0.4801429081814934,低对比度/边界模糊型
WL,gas_10c161954300f5e9,WL/images/gas_10c161954300f5e9.jpg,WL/masks/gas_10c161954300f5e9.png,1158,1009,0.4317708333333333,large_>=10%,90.44532012939453,58.602027893066406,58.82667922973633,3.434112548828125,0.0051187275985663085,277.0406494140625,9.180609853737122,1.1,484,440,0.6247767059664165,未标记
WL,gas_10d2869937b5461,WL/images/gas_10d2869937b5461.jpg,WL/masks/gas_10d2869937b5461.png,487,476,0.6248943109071143,large_>=10%,112.42277526855469,61.5989990234375,168.4384307861328,8.504508972167969,0.01306662295308267,49.66351318359375,9.298423454202137,1.0484581497797356,454,476,0.675016077170418,未标记
WL,gas_10df0e8d6c4440e6,WL/images/gas_10df0e8d6c4440e6.jpg,WL/masks/gas_10df0e8d6c4440e6.png,1370,903,0.07584419431279621,medium_1-10%,93.92988586425781,31.792512893676758,60.28813552856445,0.9630813598632812,0.0010478376777251185,59.553733825683594,9.383581472431297,1.2287581699346406,153,188,0.459081814933905,低对比度/边界模糊型
WL,gas_110e226c760bdf5e,WL/images/gas_110e226c760bdf5e.jpg,WL/masks/gas_110e226c760bdf5e.png,390,366,0.25360795852599133,large_>=10%,99.63249969482422,50.337100982666016,24.609224319458008,2.5531463623046875,0.005324365980103685,798.1640625,9.64980176133941,1.1152073732718895,217,242,0.521804215791354,低对比度/边界模糊型
WL,gas_114ba91539bef38c,WL/images/gas_114ba91539bef38c.jpg,WL/masks/gas_114ba91539bef38c.png,514,481,0.13367497997848193,large_>=10%,91.51428985595703,45.45939636230469,43.68809127807617,0.5406875610351562,0.004619105786420961,89.19538116455078,10.165360978807655,1.2270531400966183,207,254,0.3077706323687031,低对比度/边界模糊型
WL,gas_11bb64dea47520e6,WL/images/gas_11bb64dea47520e6.jpg,WL/masks/gas_11bb64dea47520e6.png,1370,903,0.10696460308056872,large_>=10%,91.78533935546875,36.879905700683594,71.73336029052734,1.6019744873046875,0.0004850414691943128,48.74928665161133,9.978369766676627,1.058252427184466,206,218,0.5140264380135763,低对比度/边界模糊型
WL,gas_11c46aa379e65784,WL/images/gas_11c46aa379e65784.jpg,WL/masks/gas_11c46aa379e65784.png,1029,895,0.06115911131059246,medium_1-10%,120.99916076660156,48.8370475769043,76.73877716064453,0.469329833984375,0.010662589766606822,244.2595672607422,11.513324723087143,1.984732824427481,260,131,0.35436227224008576,低对比度/边界模糊型
WL,gas_11e41d7fba7eb336,WL/images/gas_11e41d7fba7eb336.jpg,WL/masks/gas_11e41d7fba7eb336.png,561,480,0.019136215092097446,medium_1-10%,85.7541732788086,44.403221130371094,27.31012725830078,2.2361106872558594,0.0003156565656565657,194.48660278320312,9.918589634502851,1.144578313253012,95,83,0.5041336191496962,低对比度/边界模糊型
WL,gas_120b91a0b6ab1dd0,WL/images/gas_120b91a0b6ab1dd0.jpg,WL/masks/gas_120b91a0b6ab1dd0.png,1158,1121,0.46418094758064515,large_>=10%,100.94129180908203,46.69751739501953,133.2556610107422,2.5183181762695312,0.0004435483870967742,122.56165313720703,10.492342526072498,1.5253012048192771,633,415,0.6862915326902465,低对比度/边界模糊型
WL,gas_1251923bacd97627,WL/images/gas_1251923bacd97627.jpg,WL/masks/gas_1251923bacd97627.png,579,560,0.6552707870713053,large_>=10%,111.16962432861328,38.09653091430664,45.920013427734375,5.580963134765625,0.001668517147791759,170.49359130859375,8.050952336557573,1.0818363273453093,542,501,0.671750625223294,低对比度/边界模糊型
WL,gas_139a4578481e21fd,WL/images/gas_139a4578481e21fd.jpg,WL/masks/gas_139a4578481e21fd.png,1158,1009,0.38877128136200717,large_>=10%,98.86906433105469,52.03876876831055,59.9947395324707,1.0040512084960938,0.00204413082437276,476.7639465332031,8.692741671121004,1.1121951219512196,410,456,0.6082029296177206,低对比度/边界模糊型
WL,gas_13b5797bb0b196c8,WL/images/gas_13b5797bb0b196c8.jpg,WL/masks/gas_13b5797bb0b196c8.png,1158,1008,0.08265540843806105,medium_1-10%,86.27123260498047,42.1324462890625,97.84072875976562,0.2646331787109375,0.006544546678635548,297.7571716308594,10.90567677164585,1.5384615384615385,280,182,0.389103251161129,低对比度/边界模糊型
WL,gas_13f20f3827b07aaa,WL/images/gas_13f20f3827b07aaa.jpg,WL/masks/gas_13f20f3827b07aaa.png,1156,1008,0.14830309139784947,large_>=10%,97.65426635742188,68.89825439453125,77.09357452392578,0.751708984375,0.05938620071684588,238.24302673339844,10.393910833999636,1.041522491349481,301,289,0.40390496605930687,低对比度/边界模糊型;反光干扰型
WL,gas_1444db680572d1d0,WL/images/gas_1444db680572d1d0.jpg,WL/masks/gas_1444db680572d1d0.png,1157,1007,0.0615911131059246,medium_1-10%,140.02076721191406,46.839324951171875,47.499935150146484,0.246246337890625,0.028038038599640932,186.19622802734375,10.690021192973026,2.1379310344827585,248,116,0.24468381564844585,低对比度/边界模糊型;反光干扰型
WL,gas_1462a2fe02b4174,WL/images/gas_1462a2fe02b4174.jpg,WL/masks/gas_1462a2fe02b4174.png,1158,1008,0.3690754039497307,large_>=10%,82.5576171875,55.97157287597656,179.32876586914062,2.5283966064453125,0.005991921005385996,204.22084045410156,10.035204964731838,1.0267260579064588,461,449,0.6501679171132547,低对比度/边界模糊型
WL,gas_14a7c89c0b42b6ab,WL/images/gas_14a7c89c0b42b6ab.jpg,WL/masks/gas_14a7c89c0b42b6ab.png,473,480,0.11233703312191684,large_>=10%,96.98748779296875,58.023536682128906,82.18327331542969,0.1464080810546875,0.0002070119802677942,191.31228637695312,11.09560668677024,1.2457142857142858,218,175,0.42281529117541977,低对比度/边界模糊型
WL,gas_14ab3390321a121f,WL/images/gas_14ab3390321a121f.jpg,WL/masks/gas_14ab3390321a121f.png,1156,1007,0.34394881272401434,large_>=10%,87.06681823730469,47.23921585083008,97.85686492919922,0.8056564331054688,0.0051607302867383515,256.6052551269531,11.025114893035685,1.276283618581907,522,409,0.497599142550911,低对比度/边界模糊型
WL,gas_14afad94f30fac73,WL/images/gas_14afad94f30fac73.jpg,WL/masks/gas_14afad94f30fac73.png,1158,934,0.3230832122093023,large_>=10%,82.54393005371094,52.41665267944336,38.284358978271484,0.0758514404296875,1.816860465116279e-05,258.79888916015625,10.837552844898322,1.3506849315068492,493,365,0.38994998213647736,低对比度/边界模糊型
WL,gas_156fa2ed22460b74,WL/images/gas_156fa2ed22460b74.jpg,WL/masks/gas_156fa2ed22460b74.png,1156,1006,0.12049203321364453,large_>=10%,94.4686508178711,52.14014434814453,21.2807559967041,0.29824066162109375,0.0017504488330341112,249.28465270996094,11.483656835525563,1.1115241635687731,299,269,0.2904608788853162,低对比度/边界模糊型
WL,gas_158f38b82da59ce2,WL/images/gas_158f38b82da59ce2.jpg,WL/masks/gas_158f38b82da59ce2.png,1156,1007,0.21562780017921146,large_>=10%,89.38623809814453,43.422584533691406,82.82929992675781,0.04875946044921875,0.0026237679211469534,393.8401794433594,11.243334497038587,2.5308056872037916,211,534,0.399049660593069,低对比度/边界模糊型
WL,gas_15e0487de43c7a93,WL/images/gas_15e0487de43c7a93.jpg,WL/masks/gas_15e0487de43c7a93.png,1156,1007,0.1204049059139785,large_>=10%,98.12918853759766,49.905460357666016,10.357697486877441,0.68670654296875,0.00022401433691756272,565.5402221679688,10.590175517153979,1.2336065573770492,301,244,0.42408717399071094,低对比度/边界模糊型
WL,gas_160083f9f254fa8b,WL/images/gas_160083f9f254fa8b.jpg,WL/masks/gas_160083f9f254fa8b.png,1158,1010,0.09101422491039426,medium_1-10%,85.94454193115234,39.41658401489258,36.396461486816406,0.34343719482421875,0.0018005152329749103,413.2891540527344,10.6275652679818,1.326829268292683,205,272,0.3670418006430868,低对比度/边界模糊型
WL,gas_165d1d59c5b6a9d6,WL/images/gas_165d1d59c5b6a9d6.jpg,WL/masks/gas_165d1d59c5b6a9d6.png,1158,1007,0.11780464542190305,large_>=10%,79.64754486083984,46.00141525268555,57.308712005615234,1.27960205078125,0.0014671229802513464,165.52548217773438,10.774578168379154,1.1541501976284585,253,292,0.46988567345480525,低对比度/边界模糊型
WL,gas_1678b5e5182b088d,WL/images/gas_1678b5e5182b088d.jpg,WL/masks/gas_1678b5e5182b088d.png,1158,1010,0.20408826164874552,large_>=10%,118.00736999511719,32.9245719909668,17.63677978515625,0.3045654296875,0.0013412858422939067,304.2018127441406,10.134445542022155,1.0061162079510704,329,327,0.3527152554483744,低对比度/边界模糊型
WL,gas_1695df8339097fb,WL/images/gas_1695df8339097fb.jpg,WL/masks/gas_1695df8339097fb.png,1156,1007,0.15827172939068102,large_>=10%,111.06895446777344,30.678316116333008,31.20848274230957,0.7699813842773438,0.0012432795698924732,289.4346923828125,9.33779239409563,1.1511627906976745,297,258,0.47454805287602714,低对比度/边界模糊型
WL,gas_16978cf1764cca3f,WL/images/gas_16978cf1764cca3f.jpg,WL/masks/gas_16978cf1764cca3f.png,1158,1009,0.08173443100358423,medium_1-10%,119.05817413330078,37.68718338012695,23.017839431762695,0.4878692626953125,0.003312612007168459,278.6278076171875,9.692832864633777,1.25,230,184,0.3471275455519829,低对比度/边界模糊型
WL,gas_16b113179c9267aa,WL/images/gas_16b113179c9267aa.jpg,WL/masks/gas_16b113179c9267aa.png,1158,1008,0.061610749551166966,medium_1-10%,116.27188110351562,45.659095764160156,81.13493347167969,5.721649169921875,0.00417975763016158,197.3894805908203,10.31044769610966,1.037837837837838,185,192,0.5729403358342265,未标记
WL,gas_16e70d84a7e36f69,WL/images/gas_16e70d84a7e36f69.jpg,WL/masks/gas_16e70d84a7e36f69.png,1158,1010,0.569346438172043,large_>=10%,109.835693359375,41.53931427001953,22.955223083496094,4.7012176513671875,0.004754704301075269,458.6092834472656,8.360763903380823,1.2687927107061503,557,439,0.6164130046445159,低对比度/边界模糊型
WL,gas_16fb154c237ae81,WL/images/gas_16fb154c237ae81.jpg,WL/masks/gas_16fb154c237ae81.png,532,476,0.1808499715675744,large_>=10%,107.34326171875,50.60718536376953,37.97831726074219,0.41419219970703125,0.03263015732608833,289.116943359375,10.448484055081039,1.06640625,256,273,0.3031475526973919,低对比度/边界模糊型;反光干扰型
WL,gas_1726edbf713b7ed8,WL/images/gas_1726edbf713b7ed8.jpg,WL/masks/gas_1726edbf713b7ed8.png,1157,1007,0.39879656642728906,large_>=10%,102.04620361328125,57.87369918823242,70.96306610107422,0.7901153564453125,0.013338756732495512,282.2349853515625,10.173849495183353,1.1022222222222222,496,450,0.4689924973204716,低对比度/边界模糊型
WL,gas_17696b7a64deeba8,WL/images/gas_17696b7a64deeba8.jpg,WL/masks/gas_17696b7a64deeba8.png,1156,1006,0.07655408438061041,medium_1-10%,85.96532440185547,57.1187629699707,97.44103240966797,0.5577468872070312,2.524685816876122e-05,151.1138153076172,10.678169564116065,2.680672268907563,319,119,0.5035476956055734,低对比度/边界模糊型
WL,gas_1769798dda571b99,WL/images/gas_1769798dda571b99.jpg,WL/masks/gas_1769798dda571b99.png,1158,1009,0.030177531362007168,medium_1-10%,85.94151306152344,69.08470153808594,34.617366790771484,0.7392730712890625,0.011869959677419354,290.1514892578125,10.018077749013703,1.5242718446601942,157,103,0.34441586280814573,低对比度/边界模糊型
WL,gas_177d92083a759cc9,WL/images/gas_177d92083a759cc9.jpg,WL/masks/gas_177d92083a759cc9.png,1158,1009,0.8506020385304659,large_>=10%,110.61801147460938,38.11820983886719,52.05208206176758,6.3618621826171875,0.0025873655913978494,207.7122039794922,8.150222245633413,1.136200716845878,634,558,0.688388710253662,低对比度/边界模糊型
WL,gas_178918dc778c8f4c,WL/images/gas_178918dc778c8f4c.jpg,WL/masks/gas_178918dc778c8f4c.png,1158,1122,0.2026688508064516,large_>=10%,91.63081359863281,63.82224655151367,197.0979461669922,0.6645050048828125,0.06493447580645162,421.560546875,11.047933734483541,3.0673575129533677,592,193,0.49381922115041094,低对比度/边界模糊型;反光干扰型
WL,gas_178b965e7b8f946f,WL/images/gas_178b965e7b8f946f.jpg,WL/masks/gas_178b965e7b8f946f.png,1156,1007,0.09633736559139786,medium_1-10%,128.79966735839844,42.72346496582031,80.35464477539062,1.3950958251953125,0.0004844310035842294,213.84222412109375,9.397079858708514,1.7025316455696202,158,269,0.613801357627724,低对比度/边界模糊型
WL,gas_17ff46d7d4b70078,WL/images/gas_17ff46d7d4b70078.jpg,WL/masks/gas_17ff46d7d4b70078.png,1158,1009,0.022001008064516128,medium_1-10%,96.19102478027344,50.89529037475586,9.806614875793457,2.9045791625976562,0.0018061155913978494,168.15390014648438,10.063208658879867,2.793103448275862,162,58,0.4300035727045373,低对比度/边界模糊型
WL,gas_181e1d902d607ffa,WL/images/gas_181e1d902d607ffa.jpg,WL/masks/gas_181e1d902d607ffa.png,532,476,0.21998009730207874,large_>=10%,94.33978271484375,49.12025833129883,104.71712493896484,2.3240966796875,0.008912775636570417,389.4508056640625,10.626164743624784,1.2234042553191489,345,282,0.5885673454805287,低对比度/边界模糊型
WL,gas_18815e5f4c2f4d05,WL/images/gas_18815e5f4c2f4d05.jpg,WL/masks/gas_18815e5f4c2f4d05.png,1158,1008,0.342832697486535,large_>=10%,112.95970916748047,40.27212142944336,56.67582702636719,0.8139877319335938,0.009992145421903052,242.122802734375,11.556402581433211,1.316883116883117,385,507,0.40048588781707756,低对比度/边界模糊型
WL,gas_18dc528fd3ebb4ae,WL/images/gas_18dc528fd3ebb4ae.jpg,WL/masks/gas_18dc528fd3ebb4ae.png,1156,1007,0.41561939964157707,large_>=10%,80.78021240234375,56.024749755859375,70.45768737792969,0.7868118286132812,0.0013860887096774194,378.3990478515625,10.434486013996821,1.2627737226277371,411,519,0.5536477313326188,低对比度/边界模糊型
WL,gas_18fb5d3a2b10df00,WL/images/gas_18fb5d3a2b10df00.jpg,WL/masks/gas_18fb5d3a2b10df00.png,1158,1010,0.2622059811827957,large_>=10%,88.52318572998047,48.01239013671875,18.013168334960938,0.6097030639648438,0.013827284946236558,314.2639465332031,10.885446537239698,1.7418300653594772,533,306,0.30366916755984286,低对比度/边界模糊型
WL,gas_194b3005cde83e0e,WL/images/gas_194b3005cde83e0e.jpg,WL/masks/gas_194b3005cde83e0e.png,514,481,0.04909518917301019,medium_1-10%,98.7936782836914,63.23603057861328,167.17189025878906,4.77093505859375,0.007393805059174709,104.5967025756836,9.258200997725515,1.1652173913043478,134,115,0.6238513754912468,未标记
WL,gas_1980d1c29dfb9438,WL/images/gas_1980d1c29dfb9438.jpg,WL/masks/gas_1980d1c29dfb9438.png,1158,1009,0.5905101926523297,large_>=10%,98.27058410644531,51.02655792236328,25.60028648376465,3.2785415649414062,0.0052671370967741936,671.8785400390625,9.169896964129082,1.1613545816733069,583,502,0.5914505180421579,低对比度/边界模糊型
WL,gas_1989dc2a853288fe,WL/images/gas_1989dc2a853288fe.jpg,WL/masks/gas_1989dc2a853288fe.png,1158,1008,0.023117706463195692,medium_1-10%,103.93280792236328,52.23421859741211,163.9856414794922,2.0306854248046875,0.045388240574506286,138.86050415039062,11.940962243413587,1.3982300884955752,113,158,0.4774133619149697,低对比度/边界模糊型;反光干扰型
WL,gas_19a1b87987a36d93,WL/images/gas_19a1b87987a36d93.jpg,WL/masks/gas_19a1b87987a36d93.png,1158,1009,0.16022625448028674,large_>=10%,109.1139907836914,45.405025482177734,33.09192657470703,0.5340728759765625,0.003178203405017921,534.8530883789062,13.979522648424194,1.334319526627219,338,451,0.3520007145409074,低对比度/边界模糊型
WL,gas_19a4ba0bcfeac547,WL/images/gas_19a4ba0bcfeac547.jpg,WL/masks/gas_19a4ba0bcfeac547.png,1158,1007,0.16144524236983843,large_>=10%,96.73509979248047,57.481815338134766,60.06562042236328,0.08998870849609375,0.008104241472172351,191.177978515625,11.621509971720403,1.3936170212765957,282,393,0.2690353697749196,低对比度/边界模糊型
WL,gas_1a77530b27aca85d,WL/images/gas_1a77530b27aca85d.jpg,WL/masks/gas_1a77530b27aca85d.png,1158,1008,0.055571140035906644,medium_1-10%,108.78601837158203,41.367088317871094,64.23321533203125,1.199127197265625,0.0039272890484739675,193.29953002929688,9.97527483462232,1.0710059171597632,169,181,0.46011432654519474,低对比度/边界模糊型
WL,gas_1aae2342d53071a7,WL/images/gas_1aae2342d53071a7.jpg,WL/masks/gas_1aae2342d53071a7.png,1370,903,0.27584049170616115,large_>=10%,120.50556945800781,41.525760650634766,35.60139846801758,0.1778717041015625,0.0016994964454976303,42.548648834228516,10.800708810515218,1.190031152647975,382,321,0.25328688817434797,低对比度/边界模糊型
WL,gas_1aca7f58d315ad9f,WL/images/gas_1aca7f58d315ad9f.jpg,WL/masks/gas_1aca7f58d315ad9f.png,1158,1009,0.04051859318996416,medium_1-10%,94.84415435791016,63.62001419067383,67.90192413330078,0.36370849609375,0.020833333333333332,431.6146240234375,11.272634452130587,1.0609756097560976,174,164,0.33889603429796356,低对比度/边界模糊型;反光干扰型
WL,gas_1ad86930623cd50d,WL/images/gas_1ad86930623cd50d.jpg,WL/masks/gas_1ad86930623cd50d.png,579,560,0.044235751295336787,medium_1-10%,119.0687484741211,47.948699951171875,65.49964904785156,0.769989013671875,0.0003670120898100173,86.04791259765625,9.786054103253448,1.1544117647058822,136,157,0.4620507324044301,低对比度/边界模糊型
WL,gas_1ae0438109f36953,WL/images/gas_1ae0438109f36953.jpg,WL/masks/gas_1ae0438109f36953.png,1158,1009,0.9591313844086021,large_>=10%,108.47561645507812,44.92036819458008,174.71275329589844,7.7960357666015625,0.005258736559139785,362.4447937011719,6.212662151559135,1.146953405017921,640,558,0.8372275812790283,未标记
WL,gas_1b01935634abc49a,WL/images/gas_1b01935634abc49a.jpg,WL/masks/gas_1b01935634abc49a.png,773,956,0.011877417794970986,medium_1-10%,109.36788940429688,46.69556427001953,54.177879333496094,0.6295013427734375,0.00039893617021276594,131.02581787109375,10.017592667396332,2.2708333333333335,48,109,0.43073954983922824,低对比度/边界模糊型
WL,gas_1b34192d35c51da8,WL/images/gas_1b34192d35c51da8.jpg,WL/masks/gas_1b34192d35c51da8.png,1158,1009,0.0594394041218638,medium_1-10%,120.7342758178711,52.885353088378906,14.8168306350708,0.7814865112304688,0.0010920698924731182,269.1502990722656,9.22475751054086,1.167741935483871,155,181,0.4258556627366917,低对比度/边界模糊型
WL,gas_1c104bf23e66b59,WL/images/gas_1c104bf23e66b59.jpg,WL/masks/gas_1c104bf23e66b59.png,1029,895,0.06931665170556553,medium_1-10%,103.03978729248047,38.63776779174805,36.240623474121094,0.34525299072265625,0.008185592459605026,220.30885314941406,10.814651991314449,1.6644295302013423,248,149,0.2662379421221865,低对比度/边界模糊型
WL,gas_1c1e4c62b50c6000,WL/images/gas_1c1e4c62b50c6000.jpg,WL/masks/gas_1c1e4c62b50c6000.png,1158,1008,0.06623372980251346,medium_1-10%,123.65587615966797,56.90739440917969,92.05833435058594,0.9551239013671875,0.00314463644524237,81.24154663085938,11.375859974771172,1.0909090909090908,228,209,0.4109789210432297,低对比度/边界模糊型
WL,gas_1d1328b7ac7bf8a5,WL/images/gas_1d1328b7ac7bf8a5.jpg,WL/masks/gas_1d1328b7ac7bf8a5.png,1158,1008,0.4759088868940754,large_>=10%,110.26911926269531,57.475440979003906,90.33936309814453,5.6956787109375,0.009130947037701976,314.530029296875,9.458874347207075,1.1826280623608019,531,449,0.6839442658092176,未标记
