modality,split,stem,image_path,mask_path,new_image_path,new_mask_path,foreground_ratio,size_bucket
NBI,test,gas_10e30b9b5f662e90,NBI/images/gas_10e30b9b5f662e90.jpg,NBI/masks/gas_10e30b9b5f662e90.png,NBI/test/images/gas_10e30b9b5f662e90.jpg,NBI/test/masks/gas_10e30b9b5f662e90.png,0.38719930305755396,large_>=10%
NBI,test,gas_10fe196470c953ee,NBI/images/gas_10fe196470c953ee.jpg,NBI/masks/gas_10fe196470c953ee.png,NBI/test/images/gas_10fe196470c953ee.jpg,NBI/test/masks/gas_10fe196470c953ee.png,0.7079525089605735,large_>=10%
NBI,test,gas_11cb07bb1b748e60,NBI/images/gas_11cb07bb1b748e60.jpg,NBI/masks/gas_11cb07bb1b748e60.png,NBI/test/images/gas_11cb07bb1b748e60.jpg,NBI/test/masks/gas_11cb07bb1b748e60.png,0.35910195157502633,large_>=10%
NBI,test,gas_136efeb192bb9611,NBI/images/gas_136efeb192bb9611.jpg,NBI/masks/gas_136efeb192bb9611.png,NBI/test/images/gas_136efeb192bb9611.jpg,NBI/test/masks/gas_136efeb192bb9611.png,0.6227822580645161,large_>=10%
NBI,test,gas_13be60855a9fb511,NBI/images/gas_13be60855a9fb511.jpg,NBI/masks/gas_13be60855a9fb511.png,NBI/test/images/gas_13be60855a9fb511.jpg,NBI/test/masks/gas_13be60855a9fb511.png,0.3033322132616487,large_>=10%
NBI,test,gas_141ccdb36bbd74b1,NBI/images/gas_141ccdb36bbd74b1.jpg,NBI/masks/gas_141ccdb36bbd74b1.png,NBI/test/images/gas_141ccdb36bbd74b1.jpg,NBI/test/masks/gas_141ccdb36bbd74b1.png,0.6074568772401434,large_>=10%
NBI,test,gas_14b8cb96f4c92bf8,NBI/images/gas_14b8cb96f4c92bf8.jpg,NBI/masks/gas_14b8cb96f4c92bf8.png,NBI/test/images/gas_14b8cb96f4c92bf8.jpg,NBI/test/masks/gas_14b8cb96f4c92bf8.png,0.4399641577060932,large_>=10%
NBI,test,gas_14d4b3b4f63b9611,NBI/images/gas_14d4b3b4f63b9611.jpg,NBI/masks/gas_14d4b3b4f63b9611.png,NBI/test/images/gas_14d4b3b4f63b9611.jpg,NBI/test/masks/gas_14d4b3b4f63b9611.png,0.5295838933691757,large_>=10%
NBI,test,gas_15631d6e96707ee7,NBI/images/gas_15631d6e96707ee7.jpg,NBI/masks/gas_15631d6e96707ee7.png,NBI/test/images/gas_15631d6e96707ee7.jpg,NBI/test/masks/gas_15631d6e96707ee7.png,0.5964129704301075,large_>=10%
NBI,test,gas_15d02983086b366d,NBI/images/gas_15d02983086b366d.jpg,NBI/masks/gas_15d02983086b366d.png,NBI/test/images/gas_15d02983086b366d.jpg,NBI/test/masks/gas_15d02983086b366d.png,0.20337701612903225,large_>=10%
NBI,test,gas_1606d053093ecd75,NBI/images/gas_1606d053093ecd75.jpg,NBI/masks/gas_1606d053093ecd75.png,NBI/test/images/gas_1606d053093ecd75.jpg,NBI/test/masks/gas_1606d053093ecd75.png,0.2934195788530466,large_>=10%
NBI,test,gas_178daa49090b92b4,NBI/images/gas_178daa49090b92b4.jpg,NBI/masks/gas_178daa49090b92b4.png,NBI/test/images/gas_178daa49090b92b4.jpg,NBI/test/masks/gas_178daa49090b92b4.png,0.5651340888689408,large_>=10%
NBI,test,gas_179de4a38769a755,NBI/images/gas_179de4a38769a755.jpg,NBI/masks/gas_179de4a38769a755.png,NBI/test/images/gas_179de4a38769a755.jpg,NBI/test/masks/gas_179de4a38769a755.png,0.3592530107973422,large_>=10%
NBI,test,gas_18893669edfe3466,NBI/images/gas_18893669edfe3466.jpg,NBI/masks/gas_18893669edfe3466.png,NBI/test/images/gas_18893669edfe3466.jpg,NBI/test/masks/gas_18893669edfe3466.png,0.8960081912028726,large_>=10%
NBI,test,gas_188d8415a8a8adb2,NBI/images/gas_188d8415a8a8adb2.jpg,NBI/masks/gas_188d8415a8a8adb2.png,NBI/test/images/gas_188d8415a8a8adb2.jpg,NBI/test/masks/gas_188d8415a8a8adb2.png,0.8661290054514027,large_>=10%
NBI,test,gas_18f1853352541d50,NBI/images/gas_18f1853352541d50.jpg,NBI/masks/gas_18f1853352541d50.png,NBI/test/images/gas_18f1853352541d50.jpg,NBI/test/masks/gas_18f1853352541d50.png,0.42413929594795763,large_>=10%
NBI,test,gas_18fce0cb4665e57a,NBI/images/gas_18fce0cb4665e57a.jpg,NBI/masks/gas_18fce0cb4665e57a.png,NBI/test/images/gas_18fce0cb4665e57a.jpg,NBI/test/masks/gas_18fce0cb4665e57a.png,0.1413502464157706,large_>=10%
NBI,test,gas_1a22e2c2a978c376,NBI/images/gas_1a22e2c2a978c376.jpg,NBI/masks/gas_1a22e2c2a978c376.png,NBI/test/images/gas_1a22e2c2a978c376.jpg,NBI/test/masks/gas_1a22e2c2a978c376.png,0.28236848021582733,large_>=10%
NBI,test,gas_1a3b3590a2e4b7dc,NBI/images/gas_1a3b3590a2e4b7dc.jpg,NBI/masks/gas_1a3b3590a2e4b7dc.png,NBI/test/images/gas_1a3b3590a2e4b7dc.jpg,NBI/test/masks/gas_1a3b3590a2e4b7dc.png,0.16935031418312388,large_>=10%
NBI,test,gas_1a882b9870b7431a,NBI/images/gas_1a882b9870b7431a.jpg,NBI/masks/gas_1a882b9870b7431a.png,NBI/test/images/gas_1a882b9870b7431a.jpg,NBI/test/masks/gas_1a882b9870b7431a.png,0.5399638862736001,large_>=10%
NBI,test,gas_1b20a9f48f188fa,NBI/images/gas_1b20a9f48f188fa.jpg,NBI/masks/gas_1b20a9f48f188fa.png,NBI/test/images/gas_1b20a9f48f188fa.jpg,NBI/test/masks/gas_1b20a9f48f188fa.png,0.38480392156862747,large_>=10%
NBI,test,gas_1bbce459a3633dc4,NBI/images/gas_1bbce459a3633dc4.jpg,NBI/masks/gas_1bbce459a3633dc4.png,NBI/test/images/gas_1bbce459a3633dc4.jpg,NBI/test/masks/gas_1bbce459a3633dc4.png,0.7962326077199282,large_>=10%
NBI,test,gas_1c3aafccbada72b4,NBI/images/gas_1c3aafccbada72b4.jpg,NBI/masks/gas_1c3aafccbada72b4.png,NBI/test/images/gas_1c3aafccbada72b4.jpg,NBI/test/masks/gas_1c3aafccbada72b4.png,0.6872896095152603,large_>=10%
NBI,test,gas_1cdd8d6c9e7e29dc,NBI/images/gas_1cdd8d6c9e7e29dc.jpg,NBI/masks/gas_1cdd8d6c9e7e29dc.png,NBI/test/images/gas_1cdd8d6c9e7e29dc.jpg,NBI/test/masks/gas_1cdd8d6c9e7e29dc.png,0.3798228054567023,large_>=10%
NBI,test,gas_1cffc9b7aa43968e,NBI/images/gas_1cffc9b7aa43968e.jpg,NBI/masks/gas_1cffc9b7aa43968e.png,NBI/test/images/gas_1cffc9b7aa43968e.jpg,NBI/test/masks/gas_1cffc9b7aa43968e.png,0.17118895609318996,large_>=10%
NBI,test,gas_1de9bceb35739bd5,NBI/images/gas_1de9bceb35739bd5.jpg,NBI/masks/gas_1de9bceb35739bd5.png,NBI/test/images/gas_1de9bceb35739bd5.jpg,NBI/test/masks/gas_1de9bceb35739bd5.png,0.18147532505910166,large_>=10%
NBI,test,gas_1e1eff82696a73b8,NBI/images/gas_1e1eff82696a73b8.jpg,NBI/masks/gas_1e1eff82696a73b8.png,NBI/test/images/gas_1e1eff82696a73b8.jpg,NBI/test/masks/gas_1e1eff82696a73b8.png,0.511391129032258,large_>=10%
NBI,test,gas_1fd45b8c63a3ab9d,NBI/images/gas_1fd45b8c63a3ab9d.jpg,NBI/masks/gas_1fd45b8c63a3ab9d.png,NBI/test/images/gas_1fd45b8c63a3ab9d.jpg,NBI/test/masks/gas_1fd45b8c63a3ab9d.png,0.2131076388888889,large_>=10%
NBI,test,gas_1fec79e817fdab12,NBI/images/gas_1fec79e817fdab12.jpg,NBI/masks/gas_1fec79e817fdab12.png,NBI/test/images/gas_1fec79e817fdab12.jpg,NBI/test/masks/gas_1fec79e817fdab12.png,0.1894405241935484,large_>=10%
NBI,test,gas_1ffa2aa681a9083c,NBI/images/gas_1ffa2aa681a9083c.jpg,NBI/masks/gas_1ffa2aa681a9083c.png,NBI/test/images/gas_1ffa2aa681a9083c.jpg,NBI/test/masks/gas_1ffa2aa681a9083c.png,0.17910848549946295,large_>=10%
NBI,test,gas_204b5a41d75cc3d6,NBI/images/gas_204b5a41d75cc3d6.jpg,NBI/masks/gas_204b5a41d75cc3d6.png,NBI/test/images/gas_204b5a41d75cc3d6.jpg,NBI/test/masks/gas_204b5a41d75cc3d6.png,0.4913390456989247,large_>=10%
NBI,test,gas_219dd474321ba69,NBI/images/gas_219dd474321ba69.jpg,NBI/masks/gas_219dd474321ba69.png,NBI/test/images/gas_219dd474321ba69.jpg,NBI/test/masks/gas_219dd474321ba69.png,0.16349304308797127,large_>=10%
NBI,test,gas_21ce6ef4bb0f48dd,NBI/images/gas_21ce6ef4bb0f48dd.jpg,NBI/masks/gas_21ce6ef4bb0f48dd.png,NBI/test/images/gas_21ce6ef4bb0f48dd.jpg,NBI/test/masks/gas_21ce6ef4bb0f48dd.png,0.7846527154398564,large_>=10%
NBI,test,gas_21d51df7a5f45526,NBI/images/gas_21d51df7a5f45526.jpg,NBI/masks/gas_21d51df7a5f45526.png,NBI/test/images/gas_21d51df7a5f45526.jpg,NBI/test/masks/gas_21d51df7a5f45526.png,0.8378815080789946,large_>=10%
NBI,test,gas_21dd1cb649faee85,NBI/images/gas_21dd1cb649faee85.jpg,NBI/masks/gas_21dd1cb649faee85.png,NBI/test/images/gas_21dd1cb649faee85.jpg,NBI/test/masks/gas_21dd1cb649faee85.png,0.5830432606761566,large_>=10%
NBI,test,gas_23270822e9ad28f5,NBI/images/gas_23270822e9ad28f5.jpg,NBI/masks/gas_23270822e9ad28f5.png,NBI/test/images/gas_23270822e9ad28f5.jpg,NBI/test/masks/gas_23270822e9ad28f5.png,0.38604513064133017,large_>=10%
NBI,test,gas_2383ff12e2e15692,NBI/images/gas_2383ff12e2e15692.jpg,NBI/masks/gas_2383ff12e2e15692.png,NBI/test/images/gas_2383ff12e2e15692.jpg,NBI/test/masks/gas_2383ff12e2e15692.png,0.5423323233714364,large_>=10%
NBI,test,gas_243e4bc2b4d0642f,NBI/images/gas_243e4bc2b4d0642f.jpg,NBI/masks/gas_243e4bc2b4d0642f.png,NBI/test/images/gas_243e4bc2b4d0642f.jpg,NBI/test/masks/gas_243e4bc2b4d0642f.png,0.2871605700179533,large_>=10%
NBI,test,gas_252162061d87e838,NBI/images/gas_252162061d87e838.jpg,NBI/masks/gas_252162061d87e838.png,NBI/test/images/gas_252162061d87e838.jpg,NBI/test/masks/gas_252162061d87e838.png,0.15226920693928128,large_>=10%
NBI,test,gas_254e4ce9a81fb337,NBI/images/gas_254e4ce9a81fb337.jpg,NBI/masks/gas_254e4ce9a81fb337.png,NBI/test/images/gas_254e4ce9a81fb337.jpg,NBI/test/masks/gas_254e4ce9a81fb337.png,0.9287469751966122,large_>=10%
NBI,test,gas_2668c447b5dd6a94,NBI/images/gas_2668c447b5dd6a94.jpg,NBI/masks/gas_2668c447b5dd6a94.png,NBI/test/images/gas_2668c447b5dd6a94.jpg,NBI/test/masks/gas_2668c447b5dd6a94.png,0.19568772401433693,large_>=10%
NBI,test,gas_26e6b3596b9918a7,NBI/images/gas_26e6b3596b9918a7.jpg,NBI/masks/gas_26e6b3596b9918a7.png,NBI/test/images/gas_26e6b3596b9918a7.jpg,NBI/test/masks/gas_26e6b3596b9918a7.png,0.3030576750448833,large_>=10%
NBI,test,gas_26f0ecd80dfd5748,NBI/images/gas_26f0ecd80dfd5748.jpg,NBI/masks/gas_26f0ecd80dfd5748.png,NBI/test/images/gas_26f0ecd80dfd5748.jpg,NBI/test/masks/gas_26f0ecd80dfd5748.png,0.2320298473967684,large_>=10%
NBI,test,gas_27037,NBI/images/gas_27037.jpg,NBI/masks/gas_27037.png,NBI/test/images/gas_27037.jpg,NBI/test/masks/gas_27037.png,0.17575562619840548,large_>=10%
NBI,test,gas_273d9f7f1f34a7dd,NBI/images/gas_273d9f7f1f34a7dd.jpg,NBI/masks/gas_273d9f7f1f34a7dd.png,NBI/test/images/gas_273d9f7f1f34a7dd.jpg,NBI/test/masks/gas_273d9f7f1f34a7dd.png,0.4768090154211151,large_>=10%
NBI,test,gas_278253f33f9c2222,NBI/images/gas_278253f33f9c2222.jpg,NBI/masks/gas_278253f33f9c2222.png,NBI/test/images/gas_278253f33f9c2222.jpg,NBI/test/masks/gas_278253f33f9c2222.png,0.18142081093189963,large_>=10%
NBI,test,gas_285ea23ee441e70e,NBI/images/gas_285ea23ee441e70e.jpg,NBI/masks/gas_285ea23ee441e70e.png,NBI/test/images/gas_285ea23ee441e70e.jpg,NBI/test/masks/gas_285ea23ee441e70e.png,0.09926915322580646,medium_1-10%
NBI,test,gas_2875eb2cb8b326d7,NBI/images/gas_2875eb2cb8b326d7.jpg,NBI/masks/gas_2875eb2cb8b326d7.png,NBI/test/images/gas_2875eb2cb8b326d7.jpg,NBI/test/masks/gas_2875eb2cb8b326d7.png,0.09919914874551972,medium_1-10%
NBI,test,gas_28bfaabe0f12f98e,NBI/images/gas_28bfaabe0f12f98e.jpg,NBI/masks/gas_28bfaabe0f12f98e.png,NBI/test/images/gas_28bfaabe0f12f98e.jpg,NBI/test/masks/gas_28bfaabe0f12f98e.png,0.14965557795698925,large_>=10%
NBI,test,gas_28ecfa5114c45b62,NBI/images/gas_28ecfa5114c45b62.jpg,NBI/masks/gas_28ecfa5114c45b62.png,NBI/test/images/gas_28ecfa5114c45b62.jpg,NBI/test/masks/gas_28ecfa5114c45b62.png,0.14908649114173228,large_>=10%
NBI,test,gas_28f58204ff178fa7,NBI/images/gas_28f58204ff178fa7.jpg,NBI/masks/gas_28f58204ff178fa7.png,NBI/test/images/gas_28f58204ff178fa7.jpg,NBI/test/masks/gas_28f58204ff178fa7.png,0.23431509584664537,large_>=10%
NBI,test,gas_29ad4e9ac27b7f6c,NBI/images/gas_29ad4e9ac27b7f6c.jpg,NBI/masks/gas_29ad4e9ac27b7f6c.png,NBI/test/images/gas_29ad4e9ac27b7f6c.jpg,NBI/test/masks/gas_29ad4e9ac27b7f6c.png,0.18570186265709157,large_>=10%
NBI,test,gas_2acd4e36da4c7150,NBI/images/gas_2acd4e36da4c7150.jpg,NBI/masks/gas_2acd4e36da4c7150.png,NBI/test/images/gas_2acd4e36da4c7150.jpg,NBI/test/masks/gas_2acd4e36da4c7150.png,0.11913874398073836,large_>=10%
NBI,test,gas_2b2caf7b753e2ac8,NBI/images/gas_2b2caf7b753e2ac8.jpg,NBI/masks/gas_2b2caf7b753e2ac8.png,NBI/test/images/gas_2b2caf7b753e2ac8.jpg,NBI/test/masks/gas_2b2caf7b753e2ac8.png,0.2243800044483986,large_>=10%
NBI,test,gas_2b714b06a60e137e,NBI/images/gas_2b714b06a60e137e.jpg,NBI/masks/gas_2b714b06a60e137e.png,NBI/test/images/gas_2b714b06a60e137e.jpg,NBI/test/masks/gas_2b714b06a60e137e.png,0.32040770609318997,large_>=10%
NBI,test,gas_2c20688b4848b320,NBI/images/gas_2c20688b4848b320.jpg,NBI/masks/gas_2c20688b4848b320.png,NBI/test/images/gas_2c20688b4848b320.jpg,NBI/test/masks/gas_2c20688b4848b320.png,0.044620855734767026,medium_1-10%
NBI,test,gas_2c464c485292f3d3,NBI/images/gas_2c464c485292f3d3.jpg,NBI/masks/gas_2c464c485292f3d3.png,NBI/test/images/gas_2c464c485292f3d3.jpg,NBI/test/masks/gas_2c464c485292f3d3.png,0.36091229838709676,large_>=10%
NBI,test,gas_2c99d75f992d1929,NBI/images/gas_2c99d75f992d1929.jpg,NBI/masks/gas_2c99d75f992d1929.png,NBI/test/images/gas_2c99d75f992d1929.jpg,NBI/test/masks/gas_2c99d75f992d1929.png,0.13270609318996415,large_>=10%
NBI,test,gas_2da623fb2f6abd8d,NBI/images/gas_2da623fb2f6abd8d.jpg,NBI/masks/gas_2da623fb2f6abd8d.png,NBI/test/images/gas_2da623fb2f6abd8d.jpg,NBI/test/masks/gas_2da623fb2f6abd8d.png,0.9291638664874552,large_>=10%
NBI,test,gas_2dfbfd0b28aca611,NBI/images/gas_2dfbfd0b28aca611.jpg,NBI/masks/gas_2dfbfd0b28aca611.png,NBI/test/images/gas_2dfbfd0b28aca611.jpg,NBI/test/masks/gas_2dfbfd0b28aca611.png,0.3875627288756273,large_>=10%
NBI,test,gas_2e27cf02f9609578,NBI/images/gas_2e27cf02f9609578.jpg,NBI/masks/gas_2e27cf02f9609578.png,NBI/test/images/gas_2e27cf02f9609578.jpg,NBI/test/masks/gas_2e27cf02f9609578.png,0.31005957446808513,large_>=10%
