image,modal,split,image_path,mask_path,width,height,scale,global_hfr,full_power,high_power
gas_108181137699c6f4,WL,train,dataset\WL\train\images\gas_108181137699c6f4.jpg,dataset\WL\train\masks\gas_108181137699c6f4.png,525,478,0.0734100341796875,0.00020409698709236376,521319617.8080431,106399.76330676419
gas_10c161954300f5e9,WL,train,dataset\WL\train\images\gas_10c161954300f5e9.jpg,dataset\WL\train\masks\gas_10c161954300f5e9.png,1158,1009,0.4315032958984375,0.00023699123978859334,764241732.1288736,181118.5955954038
gas_10df0e8d6c4440e6,WL,train,dataset\WL\train\images\gas_10df0e8d6c4440e6.jpg,dataset\WL\train\masks\gas_10df0e8d6c4440e6.png,1370,903,0.0758514404296875,3.6070463749393527e-05,647806731.3423452,23366.689219497177
gas_110e226c760bdf5e,WL,train,dataset\WL\train\images\gas_110e226c760bdf5e.jpg,dataset\WL\train\masks\gas_110e226c760bdf5e.png,390,366,0.253692626953125,0.00022428513666481506,814002304.3129874,182568.61806831276
gas_114ba91539bef38c,WL,train,dataset\WL\train\images\gas_114ba91539bef38c.jpg,dataset\WL\train\masks\gas_114ba91539bef38c.png,514,481,0.1331787109375,4.4694656001735595e-05,687526832.5524026,30728.775272892504
gas_11bb64dea47520e6,WL,train,dataset\WL\train\images\gas_11bb64dea47520e6.jpg,dataset\WL\train\masks\gas_11bb64dea47520e6.png,1370,903,0.10693359375,3.412683369041619e-05,644972354.01867,22010.864260511386
gas_11c46aa379e65784,WL,train,dataset\WL\train\images\gas_11c46aa379e65784.jpg,dataset\WL\train\masks\gas_11c46aa379e65784.png,1029,895,0.06134033203125,0.0002074296194379761,1120837509.419208,232494.89803063526
gas_1251923bacd97627,WL,train,dataset\WL\train\images\gas_1251923bacd97627.jpg,dataset\WL\train\masks\gas_1251923bacd97627.png,579,560,0.65570068359375,0.00010614950191079013,909259143.8679892,96517.40522941851
gas_139a4578481e21fd,WL,train,dataset\WL\train\images\gas_139a4578481e21fd.jpg,dataset\WL\train\masks\gas_139a4578481e21fd.png,1158,1009,0.388641357421875,0.00045714634391143006,817111149.7305957,373539.3746686069
gas_1444db680572d1d0,WL,train,dataset\WL\train\images\gas_1444db680572d1d0.jpg,dataset\WL\train\masks\gas_1444db680572d1d0.png,1157,1007,0.061431884765625,0.00013882794211267079,1436895128.9149716,199481.1937789863
gas_1462a2fe02b4174,WL,train,dataset\WL\train\images\gas_1462a2fe02b4174.jpg,dataset\WL\train\masks\gas_1462a2fe02b4174.png,1158,1008,0.3689117431640625,0.00020289562108340162,654553243.5251673,132805.98687719385
gas_14ab3390321a121f,WL,train,dataset\WL\train\images\gas_14ab3390321a121f.jpg,dataset\WL\train\masks\gas_14ab3390321a121f.png,1156,1007,0.34393310546875,0.0002594012836562109,644537068.9963554,167193.74306166638
gas_14afad94f30fac73,WL,train,dataset\WL\train\images\gas_14afad94f30fac73.jpg,dataset\WL\train\masks\gas_14afad94f30fac73.png,1158,934,0.3232879638671875,0.00028484706670568743,628991185.9967705,179166.29431491153
gas_156fa2ed22460b74,WL,train,dataset\WL\train\images\gas_156fa2ed22460b74.jpg,dataset\WL\train\masks\gas_156fa2ed22460b74.png,1156,1006,0.1204986572265625,0.0003141407976634737,765191437.2084583,240377.84844992493
gas_15e0487de43c7a93,WL,train,dataset\WL\train\images\gas_15e0487de43c7a93.jpg,dataset\WL\train\masks\gas_15e0487de43c7a93.png,1156,1007,0.1203460693359375,0.00032166003952273457,796208652.9210612,256108.5067669318
gas_160083f9f254fa8b,WL,train,dataset\WL\train\images\gas_160083f9f254fa8b.jpg,dataset\WL\train\masks\gas_160083f9f254fa8b.png,1158,1010,0.0910491943359375,0.0004914050389155145,584608672.8361093,287279.64762537554
gas_165d1d59c5b6a9d6,WL,train,dataset\WL\train\images\gas_165d1d59c5b6a9d6.jpg,dataset\WL\train\masks\gas_165d1d59c5b6a9d6.png,1158,1007,0.1181640625,0.00020556242298825652,556529602.552126,114401.57356530642
gas_1695df8339097fb,WL,train,dataset\WL\train\images\gas_1695df8339097fb.jpg,dataset\WL\train\masks\gas_1695df8339097fb.png,1156,1007,0.1580352783203125,0.0002112362792870175,873519129.353941,184518.93077076145
gas_16978cf1764cca3f,WL,train,dataset\WL\train\images\gas_16978cf1764cca3f.jpg,dataset\WL\train\masks\gas_16978cf1764cca3f.png,1158,1009,0.08172607421875,0.00016984872689471104,1026706834.8441986,174384.84879238548
gas_16e70d84a7e36f69,WL,train,dataset\WL\train\images\gas_16e70d84a7e36f69.jpg,dataset\WL\train\masks\gas_16e70d84a7e36f69.png,1158,1010,0.5689849853515625,0.00036128887390993094,902833304.0449058,326183.6277467663
gas_16fb154c237ae81,WL,train,dataset\WL\train\images\gas_16fb154c237ae81.jpg,dataset\WL\train\masks\gas_16fb154c237ae81.png,532,476,0.18072509765625,0.00012265282244400556,924237164.1046367,113360.29678507724
gas_1769798dda571b99,WL,train,dataset\WL\train\images\gas_1769798dda571b99.jpg,dataset\WL\train\masks\gas_1769798dda571b99.png,1158,1009,0.0301361083984375,0.00027752371651654597,800282036.0720339,222097.24491213934
gas_177d92083a759cc9,WL,train,dataset\WL\train\images\gas_177d92083a759cc9.jpg,dataset\WL\train\masks\gas_177d92083a759cc9.png,1158,1009,0.8499603271484375,0.00013892625709231734,902034282.8841829,125316.24669005211
gas_178918dc778c8f4c,WL,train,dataset\WL\train\images\gas_178918dc778c8f4c.jpg,dataset\WL\train\masks\gas_178918dc778c8f4c.png,1158,1122,0.20306396484375,0.0004243150308873229,817663211.2877203,346946.79075297667
gas_17ff46d7d4b70078,WL,train,dataset\WL\train\images\gas_17ff46d7d4b70078.jpg,dataset\WL\train\masks\gas_17ff46d7d4b70078.png,1158,1009,0.0220794677734375,0.00016545506284485945,780691013.1406692,129169.28064160643
gas_181e1d902d607ffa,WL,train,dataset\WL\train\images\gas_181e1d902d607ffa.jpg,dataset\WL\train\masks\gas_181e1d902d607ffa.png,532,476,0.22015380859375,0.0002728455909457624,741042439.6494886,202190.16236205416
gas_18815e5f4c2f4d05,WL,train,dataset\WL\train\images\gas_18815e5f4c2f4d05.jpg,dataset\WL\train\masks\gas_18815e5f4c2f4d05.png,1158,1008,0.34271240234375,0.00022677387562830927,944597295.9638292,214209.98971373864
gas_1980d1c29dfb9438,WL,train,dataset\WL\train\images\gas_1980d1c29dfb9438.jpg,dataset\WL\train\masks\gas_1980d1c29dfb9438.png,1158,1009,0.590911865234375,0.0006870101761396759,799068082.5838675,548967.9041635359
gas_1989dc2a853288fe,WL,train,dataset\WL\train\images\gas_1989dc2a853288fe.jpg,dataset\WL\train\masks\gas_1989dc2a853288fe.png,1158,1008,0.0231170654296875,0.00014636040057510916,891587414.1285964,130493.09107958712
gas_1a77530b27aca85d,WL,train,dataset\WL\train\images\gas_1a77530b27aca85d.jpg,dataset\WL\train\masks\gas_1a77530b27aca85d.png,1158,1008,0.0554962158203125,0.0001372648352760879,892405732.7563245,122495.92590623342
gas_1aae2342d53071a7,WL,train,dataset\WL\train\images\gas_1aae2342d53071a7.jpg,dataset\WL\train\masks\gas_1aae2342d53071a7.png,1370,903,0.2757415771484375,1.9213497308794975e-05,1072250167.1920644,20601.675701699693
gas_1ad86930623cd50d,WL,train,dataset\WL\train\images\gas_1ad86930623cd50d.jpg,dataset\WL\train\masks\gas_1ad86930623cd50d.png,579,560,0.0442962646484375,4.472168150138538e-05,1086724080.7876353,48600.12822087042
