image,modal,split,image_path,mask_path,width,height,scale,global_hfr,full_power,high_power,interior_hfr,boundary_hfr,near_background_hfr,interior_freq_std,boundary_freq_std,near_background_freq_std,boundary_freq_gap,interior_points,boundary_points,near_background_points
gas_108181137699c6f4,WL,train,dataset\WL\train\images\gas_108181137699c6f4.jpg,dataset\WL\train\masks\gas_108181137699c6f4.png,525,478,0.0734100341796875,0.00020409698709236376,521319617.8080431,106399.76330676419,0.00021387189825807014,0.0002743858849401368,0.0002964605641064173,9.630148187545607e-05,0.00017958896720351216,0.00025702890020946764,8.258866584834716e-05,256,256,256
gas_10c161954300f5e9,WL,train,dataset\WL\train\images\gas_10c161954300f5e9.jpg,dataset\WL\train\masks\gas_10c161954300f5e9.png,1158,1009,0.4315032958984375,0.00023699123978859334,764241732.1288736,181118.5955954038,0.0003694413028814918,0.0005519406491440562,0.00082795896338962,0.0003347392563364086,0.0005488781135405382,0.0007983369989573907,0.0004585176605081282,256,256,256
gas_10df0e8d6c4440e6,WL,train,dataset\WL\train\images\gas_10df0e8d6c4440e6.jpg,dataset\WL\train\masks\gas_10df0e8d6c4440e6.png,1370,903,0.0758514404296875,3.6070463749393527e-05,647806731.3423452,23366.689219497177,9.57906299419377e-05,0.00011449656496116177,0.00011302616998404783,5.9974962877464216e-05,6.938724707369706e-05,7.966556630470745e-05,2.0176329996338e-05,256,256,256
gas_110e226c760bdf5e,WL,train,dataset\WL\train\images\gas_110e226c760bdf5e.jpg,dataset\WL\train\masks\gas_110e226c760bdf5e.png,390,366,0.253692626953125,0.00022428513666481506,814002304.3129874,182568.61806831276,0.0006029628041310765,0.000688374178168773,0.0007290657485699211,0.00027432711003494225,0.0005021496287109145,0.0007658445948271218,0.00012610294443884463,256,256,256
gas_114ba91539bef38c,WL,train,dataset\WL\train\images\gas_114ba91539bef38c.jpg,dataset\WL\train\masks\gas_114ba91539bef38c.png,514,481,0.1331787109375,4.4694656001735595e-05,687526832.5524026,30728.775272892504,0.00017636158628185763,0.0002392448116465456,0.0003006920372609653,0.00011353584260676605,0.00023898103809811416,0.0003207518173910308,0.00012433045097910765,256,256,256
gas_11bb64dea47520e6,WL,train,dataset\WL\train\images\gas_11bb64dea47520e6.jpg,dataset\WL\train\masks\gas_11bb64dea47520e6.png,1370,903,0.10693359375,3.412683369041619e-05,644972354.01867,22010.864260511386,0.0001003500757916339,0.00014188057939738268,0.00016141908863781708,7.74074135336607e-05,0.0001223228139466303,0.00015466631833781878,6.106901284618318e-05,256,256,256
gas_11c46aa379e65784,WL,train,dataset\WL\train\images\gas_11c46aa379e65784.jpg,dataset\WL\train\masks\gas_11c46aa379e65784.png,1029,895,0.06134033203125,0.0002074296194379761,1120837509.419208,232494.89803063526,9.51911823450457e-05,0.00011392880036701288,0.00013559357787535059,1.6993629881517026e-05,3.867520490033737e-05,6.229781884489075e-05,4.040239553030489e-05,256,256,256
gas_1251923bacd97627,WL,train,dataset\WL\train\images\gas_1251923bacd97627.jpg,dataset\WL\train\masks\gas_1251923bacd97627.png,579,560,0.65570068359375,0.00010614950191079013,909259143.8679892,96517.40522941851,0.00017111349891891863,0.0004353839465841361,0.0006160426323449617,0.00013430814274362159,0.00045485395583952365,0.0006005780347752127,0.00044492913342604305,256,256,256
gas_139a4578481e21fd,WL,train,dataset\WL\train\images\gas_139a4578481e21fd.jpg,dataset\WL\train\masks\gas_139a4578481e21fd.png,1158,1009,0.388641357421875,0.00045714634391143006,817111149.7305957,373539.3746686069,0.0008735163989850876,0.000787653421624003,0.0009117177617584233,0.001071026234128515,0.0005878895465061865,0.0006814158617864935,0.00020992731749550487,256,256,256
gas_1444db680572d1d0,WL,train,dataset\WL\train\images\gas_1444db680572d1d0.jpg,dataset\WL\train\masks\gas_1444db680572d1d0.png,1157,1007,0.061431884765625,0.00013882794211267079,1436895128.9149716,199481.1937789863,8.445807668725008e-05,9.7184474393377e-05,0.00011820247458069454,2.762491614512493e-05,7.703214984159632e-05,0.00010565697918816593,3.3744397893444464e-05,256,256,256
gas_1462a2fe02b4174,WL,train,dataset\WL\train\images\gas_1462a2fe02b4174.jpg,dataset\WL\train\masks\gas_1462a2fe02b4174.png,1158,1008,0.3689117431640625,0.00020289562108340162,654553243.5251673,132805.98687719385,0.00021440524448633822,0.00037855581971021803,0.0006378174467747417,0.00011622580328153219,0.0003122649579912237,0.0005304947589359228,0.0004234122022884035,256,256,256
gas_14ab3390321a121f,WL,train,dataset\WL\train\images\gas_14ab3390321a121f.jpg,dataset\WL\train\masks\gas_14ab3390321a121f.png,1156,1007,0.34393310546875,0.0002594012836562109,644537068.9963554,167193.74306166638,0.0002545020714992531,0.0004242426623886908,0.0005679164521172383,0.00014348222740501605,0.0004520075799441549,0.0007356683397064546,0.0003134143806179852,256,256,256
gas_14afad94f30fac73,WL,train,dataset\WL\train\images\gas_14afad94f30fac73.jpg,dataset\WL\train\masks\gas_14afad94f30fac73.png,1158,934,0.3232879638671875,0.00028484706670568743,628991185.9967705,179166.29431491153,0.0004449006642898867,0.0005240084844589842,0.0005667517611735524,0.00019669103371289376,0.00044097267722469226,0.0005260886689401726,0.00012185109688366566,256,256,256
gas_156fa2ed22460b74,WL,train,dataset\WL\train\images\gas_156fa2ed22460b74.jpg,dataset\WL\train\masks\gas_156fa2ed22460b74.png,1156,1006,0.1204986572265625,0.0003141407976634737,765191437.2084583,240377.84844992493,0.0006770319565458038,0.0004961943964726665,0.00044355635182989693,0.0004851850576664762,0.00033257996276963577,0.0002948585771543152,0.00023347560471590682,256,256,256
gas_15e0487de43c7a93,WL,train,dataset\WL\train\images\gas_15e0487de43c7a93.jpg,dataset\WL\train\masks\gas_15e0487de43c7a93.png,1156,1007,0.1203460693359375,0.00032166003952273457,796208652.9210612,256108.5067669318,0.0006962032546761594,0.0007250474764390977,0.0009890177271887112,0.00030717187022612723,0.000729184361193698,0.001128418633314283,0.00029281447251255173,256,256,256
gas_160083f9f254fa8b,WL,train,dataset\WL\train\images\gas_160083f9f254fa8b.jpg,dataset\WL\train\masks\gas_160083f9f254fa8b.png,1158,1010,0.0910491943359375,0.0004914050389155145,584608672.8361093,287279.64762537554,0.0007028467660082007,0.0007228731236642008,0.0006021675554774957,0.0004571506084196628,0.0006739727402601889,0.000809053451017599,0.0001407319258427052,256,256,256
gas_165d1d59c5b6a9d6,WL,train,dataset\WL\train\images\gas_165d1d59c5b6a9d6.jpg,dataset\WL\train\masks\gas_165d1d59c5b6a9d6.png,1158,1007,0.1181640625,0.00020556242298825652,556529602.552126,114401.57356530642,0.00036406828146647914,0.00047924839556119636,0.0006103944873644205,0.00022089627244415656,0.000404014656769128,0.0006209532285665837,0.0002463262058979414,256,256,256
gas_1695df8339097fb,WL,train,dataset\WL\train\images\gas_1695df8339097fb.jpg,dataset\WL\train\masks\gas_1695df8339097fb.png,1156,1007,0.1580352783203125,0.0002112362792870175,873519129.353941,184518.93077076145,0.0006279349728630583,0.0003136976904416749,0.0002633555375443334,0.0002682711245800289,0.00015316651261373883,0.00017571019666407796,0.0003645794353187249,256,256,256
gas_16978cf1764cca3f,WL,train,dataset\WL\train\images\gas_16978cf1764cca3f.jpg,dataset\WL\train\masks\gas_16978cf1764cca3f.png,1158,1009,0.08172607421875,0.00016984872689471104,1026706834.8441986,174384.84879238548,0.0003821813409291399,0.00029528532362085543,0.00030815447771489026,0.00016538300108149854,0.0001495475969083874,0.00023867227324540403,9.976517140231929e-05,256,256,256
gas_16e70d84a7e36f69,WL,train,dataset\WL\train\images\gas_16e70d84a7e36f69.jpg,dataset\WL\train\masks\gas_16e70d84a7e36f69.png,1158,1010,0.5689849853515625,0.00036128887390993094,902833304.0449058,326183.6277467663,0.0007123786747512374,0.0008680809228193778,0.0008111636459217137,0.00039453098454624356,0.0005431275107550293,0.0007290430780027701,0.0002126195249658045,256,256,256
gas_16fb154c237ae81,WL,train,dataset\WL\train\images\gas_16fb154c237ae81.jpg,dataset\WL\train\masks\gas_16fb154c237ae81.png,532,476,0.18072509765625,0.00012265282244400556,924237164.1046367,113360.29678507724,0.00016509111144122753,0.00011481560980566445,0.00012361688685341168,0.0001274085261793786,6.335119766236033e-05,8.139704756321002e-05,5.90767786833103e-05,256,256,256
gas_1769798dda571b99,WL,train,dataset\WL\train\images\gas_1769798dda571b99.jpg,dataset\WL\train\masks\gas_1769798dda571b99.png,1158,1009,0.0301361083984375,0.00027752371651654597,800282036.0720339,222097.24491213934,0.0009313613886094022,0.001019088663214722,0.0010109007081913531,0.0002829456744161438,0.0004745582457370308,0.00046606080172111096,9.591522962868891e-05,256,256,256
