image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_446afd6b26614be4,NBI,test,attention_unet,0.0,0.0,0.0,316.7838379715733,0.0319475457072258,0.03204345703125,0.0006375848535614,0.0003852354798392,0.0001993548243432,0.0002474929880004,0.0,0.0319475446428571
gas_ee1a49eaf89ca25a,NBI,test,attention_unet,0.0,0.0,0.0,316.7838379715733,0.0679807066917419,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,0.0,0.0679807079081632
gas_6b4c50277f3fd2e7,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0323860011994838,0.0323333740234375,0.0005089687310417,0.0002920528279232,0.0001633619806967,2.6058694025923672e-05,0.0,0.0323860012755102
gas_781a9d3997764d66,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0240154657512903,0.0240020751953125,0.0002086869039873,0.0002600980331935,9.535756127074698e-05,2.462074146906363e-05,0.0,0.0240154655612244
gas_8b58a74094ccf95d,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0879105553030967,0.0879058837890625,0.0006969358529276,0.0006912527824026,0.0001105975090196,0.0001334714188217,0.0,0.0879105548469387
gas_ee1a49eaf89ca25a,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0679807066917419,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,0.0,0.0679807079081632
gas_f58054994167fabd,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0320870541036129,0.0321044921875,0.0007370083818422,0.0007011414237152,0.0001673860526448,0.0002115175696248,0.0,0.0320870535714285
gas_34049,NBI,test,attention_unet,0.0,0.0,0.0,163.9246697062809,0.1079599782824516,0.10382080078125,9.982670842486088e-05,0.0003785524923025,0.0002107886464112,6.316695434172974e-05,0.0044044961734693,0.1035554846938775
gas_ef162dab0f6e54b6,NBI,test,swin_unet,0.3629586400346392,0.221716230824076,0.1123485736615865,157.41982086128797,0.674406111240387,0.1928253173828125,0.0005525989269654,0.0017647168799353,0.0011038782747731,0.0004018087286788,0.8659319196428571,0.1927216198979592
gas_ef162dab0f6e54b6,NBI,test,unet,0.3582083929782265,0.218181401004979,0.134650235592606,155.95863308532336,0.6790896058082581,0.1928253173828125,0.0005525989269654,0.0017647168799353,0.0011038782747731,0.0004018087286788,0.8653938137755102,0.1927216198979592
gas_b2c81bd5a9bcb333,NBI,test,attention_unet,0.2318149964961457,0.1311033608116677,0.0,151.89269846317225,0.5461774468421936,0.082122802734375,0.0002616113169908,0.0005379191010724,0.0004703144472862,0.0001652943170303,0.6285873724489796,0.0824099170918367
gas_ef162dab0f6e54b6,NBI,test,attention_unet,0.355407469110093,0.2161067026844504,0.1260143928954218,150.86417732516887,0.6477399468421936,0.1928253173828125,0.0005525989269654,0.0017647168799353,0.0011038782747731,0.0004018087286788,0.8121611926020408,0.1927216198979592
gas_38b7b03e6f779fcd,NBI,test,unet,0.2151532677848467,0.1205443940375891,0.0262115208777811,150.23631322068258,0.3786272406578064,0.1149139404296875,0.0008188417099433,0.0006433996006641,0.0002677790274685,0.0001677091237594,0.3677256058673469,0.114696269132653
gas_2acd4e36da4c7150,NBI,test,attention_unet,0.2716206203027416,0.1571533561979421,0.0769230769230769,148.78775517065966,0.5485491156578064,0.119140625,0.0006262454799288,0.0014432095179634,0.0005272401365089,0.0003882097070419,0.6337492028061225,0.1193598533163265
gas_ef162dab0f6e54b6,NBI,test,unetpp,0.3077368758664928,0.1818493066934044,0.104882459312839,147.08704799401565,0.6667530536651611,0.1928253173828125,0.0005525989269654,0.0017647168799353,0.0011038782747731,0.0004018087286788,0.7704280931122449,0.1927216198979592
