image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_446afd6b26614be4,NBI,test,attention_unet,0.0,0.0,0.0,316.7838379715733,0.0319475457072258,0.03204345703125,0.0006375848535614,0.0003852354798392,0.0001993548243432,0.0002474929880004,0.0,0.0319475446428571
gas_ee1a49eaf89ca25a,NBI,test,attention_unet,0.0,0.0,0.0,316.7838379715733,0.0679807066917419,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,0.0,0.0679807079081632
gas_6b4c50277f3fd2e7,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0323860011994838,0.0323333740234375,0.0005089687310417,0.0002920528279232,0.0001633619806967,2.6058694025923672e-05,0.0,0.0323860012755102
gas_781a9d3997764d66,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0240154657512903,0.0240020751953125,0.0002086869039873,0.0002600980331935,9.535756127074698e-05,2.462074146906363e-05,0.0,0.0240154655612244
gas_8b58a74094ccf95d,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0879105553030967,0.0879058837890625,0.0006969358529276,0.0006912527824026,0.0001105975090196,0.0001334714188217,0.0,0.0879105548469387
gas_ee1a49eaf89ca25a,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0679807066917419,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,0.0,0.0679807079081632
gas_f58054994167fabd,NBI,test,unetpp,0.0,0.0,0.0,316.7838379715733,0.0320870541036129,0.0321044921875,0.0007370083818422,0.0007011414237152,0.0001673860526448,0.0002115175696248,0.0,0.0320870535714285
gas_34049,NBI,test,attention_unet,0.0,0.0,0.0,163.9246697062809,0.1079599782824516,0.10382080078125,9.982670842486088e-05,0.0003785524923025,0.0002107886464112,6.316695434172974e-05,0.0044044961734693,0.1035554846938775
gas_872946e39faa6a36,NBI,test,unetpp,0.0,0.0,0.0,136.3568841015067,0.169025033712387,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,0.0673230229591836,0.1017020089285714
gas_781a9d3997764d66,NBI,test,attention_unet,0.0,0.0,0.0,79.04587131791865,0.0241749044507741,0.0240020751953125,0.0002086869039873,0.0002600980331935,9.535756127074698e-05,2.462074146906363e-05,0.0001594387755102,0.0240154655612244
gas_7a34685bb33d23f5,NBI,test,unet,0.0,0.0,0.0,72.14187282934839,0.0777861922979354,0.0651092529296875,0.0002490529086474,0.0002844911375302,0.0002945257646414,0.0001993668957452,0.0127949617346938,0.0649912308673469
gas_1fec79e817fdab12,NBI,test,unetpp,0.0002508623392913,0.0001254469045976,0.0,92.94083345207464,0.3177016973495483,0.189422607421875,0.0005054227473466,0.000377018647134,0.0005537531364071,0.0006934341066596,0.1282884247448979,0.1894929846938775
gas_8809274ac654c27d,NBI,test,unet,0.0089285714285714,0.0044843049327354,0.0,41.65092351190575,0.0530931130051612,0.0532379150390625,0.0008805189783833,0.0017319388207557,0.0007809624238046,3.36804509009944e-05,0.0002391581632653,0.0533322704081632
gas_af171fc5e861549f,NBI,test,attention_unet,0.024793388429752,0.0125523012552301,0.0276845637583892,50.91168824543142,0.0517378821969032,0.038970947265625,0.0012601052058224,0.0012868321282667,0.0006077271401111,0.0004206174069071,0.014110331632653,0.0389429209183673
gas_ee1a49eaf89ca25a,NBI,test,unet,0.0264937993235625,0.0134247357897743,0.0,57.35278437385868,0.0688376948237419,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,0.0027303890306122,0.0679807079081632
