image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_b3d2a96ff49f00c2,NBI,test,unet,0.8963376205037231,0.8121483862780762,0.1568556420938235,128.05955582074398,0.0885084494948387,0.3848114013671875,0.0006743669848699,0.0014485225712223,0.0008367162188647,0.0004392056086019,0.4689692283163265,0.3848453443877551
gas_b36f0eb24e2379de,NBI,test,attention_unet,0.8666926525043851,0.7647463456577815,0.317346481398476,110.07311239710896,0.027264030650258,0.090240478515625,0.0007176469752993,0.0007415805157121,0.0002889153262683,0.0007136492860079,0.1143973214285714,0.0901227678571428
gas_1de9bceb35739bd5,NBI,test,attention_unet,0.8578880031492964,0.7511417492460146,0.1622775800711743,101.24895034358964,0.0575573965907096,0.1814117431640625,0.000528281715387,0.0006175641319383,0.0001731253103584,0.0005589251834625,0.2233139349489795,0.1817004145408163
gas_401d24a2b4c81a6d,NBI,test,unet,0.9050217535579972,0.8265203043976025,0.3089575461213603,97.58073580374356,0.0513392873108387,0.27728271484375,0.0012973496638582,0.0013346814073858,0.0007230224711775,0.0004533812159641,0.2627949617346938,0.2777423469387755
gas_1de9bceb35739bd5,NBI,test,unetpp,0.9125724093542158,0.839202919996054,0.2211166390270867,95.12466262870672,0.0324856489896774,0.1814117431640625,0.000528281715387,0.0006175641319383,0.0001731253103584,0.0005589251834625,0.1898716517857142,0.1817004145408163
gas_9e553e2c66f297f6,NBI,test,unet,0.87905317769131,0.7842059589239225,0.2242249459264599,93.68030742904295,0.0297353323549032,0.1080322265625,0.0001488806882075,0.0003249772149926,0.0001123894447196,5.473716458732496e-05,0.1377949617346938,0.1080596301020408
gas_cf9b3716377c266b,NBI,test,unetpp,0.921456930778526,0.8543533930857875,0.2398881239242685,86.61206459081744,0.0544084832072258,0.332122802734375,0.0001349872331109,0.0004631826520735,0.0004296396979491,0.0002273483842028,0.3607302295918367,0.3319913903061224
gas_42fbd6e92781acb0,NBI,test,unet,0.92084963666853,0.8533098518595256,0.2567806603773584,84.13230751416512,0.0282206628471612,0.1778106689453125,0.0004886988864113,0.0006223032558186,0.0002945494509912,0.000531695453661,0.1786511479591837,0.1778938137755102
gas_7af32f6e84653d22,NBI,test,attention_unet,0.8969946925391299,0.8132279024151036,0.3133102852203975,79.66550788867565,0.0607262440025806,0.2862548828125,0.0008781857952372,0.0010347678527952,0.0004007963037074,0.0001646886301397,0.3038105867346938,0.2857342155612244
gas_b3d2a96ff49f00c2,NBI,test,unetpp,0.9009999526088812,0.8198361362656318,0.2512040069350799,78.0,0.0832668989896774,0.3848114013671875,0.0006743669848699,0.0014485225712223,0.0008367162188647,0.0004392056086019,0.456234056122449,0.3848453443877551
