image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_c50f8aa50d4f6823,NBI,test,unetpp,0.8511704453341848,0.7409022877913192,0.0491750760852154,23.345235059857504,0.1207549422979354,0.3668212890625,0.0002253352180205,0.0002366017174803,0.0001884006527228,7.818647043502974e-05,0.4445750956632653,0.3667889030612244
gas_ec9139c51753a679,NBI,test,unet,0.9044007142983432,0.825484943356034,0.0492924895039651,17.26267650163207,0.1077606827020645,0.5187835693359375,0.0014286034346739,0.0012379016751757,0.0004619697991477,0.00061077024696,0.6083187181122449,0.5188934948979592
gas_ec9139c51753a679,NBI,test,attention_unet,0.8959519179777267,0.8115153067759703,0.0555043050430504,25.079872407968907,0.1173070818185806,0.5187835693359375,0.0014286034346739,0.0012379016751757,0.0004619697991477,0.00061077024696,0.6085379464285714,0.5188934948979592
gas_4b32948d8cfca917,NBI,test,unet,0.871985107279225,0.7730262365384152,0.0605083215069023,43.01162162501544,0.1877590864896774,0.6395263671875,0.0008374259939782,0.0008696600090064,0.0005039774320803,0.0001528361497454,0.8271085778061225,0.6395886479591837
gas_a3b11f41a1a994be,NBI,test,swin_unet,0.8620599659179883,0.7575618574782116,0.0619584055459272,25.791233411588145,0.1790696680545807,0.626922607421875,0.000286543701094,0.0004508208313087,0.000351704808953,0.0002602250089902,0.6707788584183674,0.6273915816326531
gas_4b32948d8cfca917,NBI,test,unetpp,0.8683533331527481,0.767336094023027,0.066621803499327,51.00980015517485,0.1937181055545807,0.6395263671875,0.0008374259939782,0.0008696600090064,0.0005039774320803,0.0001528361497454,0.8319116709183674,0.6395886479591837
gas_b493971ce67e37d3,NBI,test,unetpp,0.8643327280980481,0.7610791906070448,0.0689851767388825,25.02097486029916,0.0953045263886451,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,0.3170041454081632,0.3854830994897959
gas_d17953c118aa0ea8,NBI,test,swin_unet,0.8513124136569963,0.7411174489725793,0.0758920800696257,25.14346701608051,0.1501514613628387,0.5366668701171875,0.0004630481118412,0.0009674015377122,0.0004428052643352,0.0008080353312879,0.4732342155612244,0.5366111288265306
gas_c0b78a6a640849e8,NBI,test,attention_unet,0.8565526048905082,0.749096642796137,0.0784156831366273,31.171237483085385,0.0761120840907096,0.295684814453125,0.0002873776115642,0.0003215576052187,0.0001562826652015,0.0003775865217003,0.2351522640306122,0.2954400510204081
gas_b493971ce67e37d3,NBI,test,swin_unet,0.8744581187629106,0.7769218838856434,0.0803165182987141,22.59583183261805,0.0859972909092903,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,0.2995256696428571,0.3854830994897959
gas_c0b78a6a640849e8,NBI,test,unet,0.8577871201987388,0.7509870842534966,0.0867242087957254,31.373922984528065,0.0741589590907096,0.295684814453125,0.0002873776115642,0.0003215576052187,0.0001562826652015,0.0003775865217003,0.226024394132653,0.2954400510204081
gas_90cdcb83838f6bec,NBI,test,attention_unet,0.8823224468636599,0.7894248608534323,0.0884534905839832,14.0356688476182,0.0769092813134193,0.3567657470703125,0.0007040113499059,0.0006299149782714,0.0005269339103711,0.0007154642293255,0.2971938775510204,0.3563655931122449
gas_9095fa0a7544fd2,NBI,test,unetpp,0.8534043646899387,0.7442940984675579,0.0908876298394712,15.0,0.0625199303030967,0.2423248291015625,0.0009685315577578,0.0007923292365878,0.0002379509791521,0.0001845081992666,0.1842912946428571,0.2421875
gas_53709e1f40fe370,NBI,test,unet,0.8681541582150102,0.7670250896057348,0.0931318681318681,27.89801879386457,0.174884408712387,0.5782623291015625,0.0006007755924149,0.0006232522741728,0.0003904241540323,8.714602485311931e-05,0.7479671556122449,0.5784638073979592
gas_a3b11f41a1a994be,NBI,test,unet,0.8750440879784428,0.7778474504000602,0.0938643399943709,25.0,0.1765186488628387,0.626922607421875,0.000286543701094,0.0004508208313087,0.000351704808953,0.0002602250089902,0.7852558992346939,0.6273915816326531
gas_9d2fea0944ac75be,NBI,test,unetpp,0.8889805308966205,0.8001484722981949,0.0949324324324324,23.259406699226016,0.101941168308258,0.5087738037109375,0.0007310897047793,0.0006374106656164,0.0002985739020425,0.0002210617034216,0.4092195471938775,0.5090082908163265
gas_6e9f38b5c1ee0260,NBI,test,swin_unet,0.8846722192369694,0.7931948208370972,0.0950794852384557,24.73154037515956,0.1368781924247741,0.5252532958984375,0.0003123583309804,0.0003550299553281,0.0003374634660801,0.0002104387447149,0.6617705676020408,0.5250916772959183
gas_5d6308d5dc0a5a6d,NBI,test,swin_unet,0.8560298910883218,0.7482974287699792,0.097024966362685,40.86805678846788,0.1804647594690323,0.70654296875,0.001625267221896,0.0023483818216084,0.0014945308812861,0.0005921883160384,0.5463966836734694,0.7070910395408163
gas_10fe196470c953ee,NBI,test,attention_unet,0.8866436529987932,0.796370052936728,0.0970388411742084,29.0,0.1609933078289032,0.707794189453125,0.0005034970370001,0.0007511238990455,0.0006649231165508,0.000163394979723,0.7119937818877551,0.7082469706632653
gas_b493971ce67e37d3,NBI,test,unet,0.90606092771468,0.8282553852124975,0.0971792890262751,13.45362404707371,0.0705516561865806,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,0.3655532525510204,0.3854830994897959
gas_a57d5991dae795de,NBI,test,unet,0.8823098154217699,0.789404637882471,0.0975434821588667,32.77188223389656,0.108777105808258,0.4095458984375,0.0001882911212962,0.0004227924491336,0.0003159635776585,0.0001533637993118,0.5155253507653061,0.4087412308673469
