model,modal,frequency_metric,prediction_metric,spearman,pearson
swin_unet,WL,boundary_freq_gap,Boundary_IoU,0.25476644861385683,0.2939132932404841
swin_unet,WL,boundary_freq_gap,Dice,0.23453388543666834,0.16293147960132387
swin_unet,WL,boundary_freq_gap,HD95,0.05118537737927648,0.025944143006879843
swin_unet,WL,boundary_freq_gap,IoU,0.23453388543666834,0.18632977805318401
swin_unet,WL,boundary_freq_gap,MAE,0.11339340227504051,0.1449330310361959
swin_unet,WL,boundary_freq_std,Boundary_IoU,0.23253234855250865,0.16789540798686156
swin_unet,WL,boundary_freq_std,Dice,0.20444851890154866,0.12951704255038177
swin_unet,WL,boundary_freq_std,HD95,0.049585588848729364,-0.016172330880739376
swin_unet,WL,boundary_freq_std,IoU,0.20444851890154866,0.13637024435615985
swin_unet,WL,boundary_freq_std,MAE,0.09651615093487313,0.031176400414949814
swin_unet,WL,boundary_hfr,Boundary_IoU,0.24119979672700023,0.23349083801247605
swin_unet,WL,boundary_hfr,Dice,0.1849041904189609,0.1419045320598255
swin_unet,WL,boundary_hfr,HD95,-0.015444106122931919,-0.06669629375450638
swin_unet,WL,boundary_hfr,IoU,0.1849041904189609,0.15617593056392381
swin_unet,WL,boundary_hfr,MAE,-0.00324718578177127,-0.03494355291333324
swin_unet,WL,global_hfr,Boundary_IoU,0.06782265036433803,0.07985033174194847
swin_unet,WL,global_hfr,Dice,0.0035201041794049688,0.021149659747676523
swin_unet,WL,global_hfr,HD95,-0.12872320937404563,-0.10873447875842951
swin_unet,WL,global_hfr,IoU,0.0035201041794049688,0.026981497149048583
swin_unet,WL,global_hfr,MAE,-0.1941433389243183,-0.15992853854740685
swin_unet,WL,scale,Boundary_IoU,0.22712618626718895,0.25618247497176444
swin_unet,WL,scale,Dice,0.43639526772484444,0.35932131736979434
swin_unet,WL,scale,HD95,0.12220841283674166,0.09589135467181341
swin_unet,WL,scale,IoU,0.43639526772484444,0.38409608871337925
swin_unet,WL,scale,MAE,0.40774770006863076,0.3991529605094901
unet,WL,boundary_freq_gap,Boundary_IoU,0.18395988960089998,0.232349929996988
unet,WL,boundary_freq_gap,Dice,0.21967311093697475,0.16663895184516261
unet,WL,boundary_freq_gap,HD95,0.016534974769467678,0.007718606520651177
unet,WL,boundary_freq_gap,IoU,0.21967311093697475,0.193914248149199
unet,WL,boundary_freq_gap,MAE,0.14421126268493134,0.16770071476244372
unet,WL,boundary_freq_std,Boundary_IoU,0.15556449993202334,0.10676896184391955
unet,WL,boundary_freq_std,Dice,0.18405237481298434,0.1395846935037951
unet,WL,boundary_freq_std,HD95,0.02659369979673373,-0.03543904142339516
unet,WL,boundary_freq_std,IoU,0.18405237481298434,0.14240256322444858
unet,WL,boundary_freq_std,MAE,0.12001861689162031,0.05334653791869651
unet,WL,boundary_hfr,Boundary_IoU,0.1802854245897876,0.1888579865637272
unet,WL,boundary_hfr,Dice,0.16858466851102716,0.14877558988032358
unet,WL,boundary_hfr,HD95,-0.014005635134258081,-0.06309184344208417
unet,WL,boundary_hfr,IoU,0.16858466851102716,0.16268161979716905
unet,WL,boundary_hfr,MAE,0.008048720084652695,-0.03548016118459648
unet,WL,global_hfr,Boundary_IoU,0.04808583145988917,0.08156727562069739
unet,WL,global_hfr,Dice,0.03367303966985018,0.022339828926875638
unet,WL,global_hfr,HD95,-0.14193246180586416,-0.07389715954390104
unet,WL,global_hfr,IoU,0.03367303966985018,0.04007164627255429
unet,WL,global_hfr,MAE,-0.228253716454095,-0.1791381794464931
unet,WL,scale,Boundary_IoU,0.2626986675772352,0.2660732027971694
unet,WL,scale,Dice,0.4959978075660287,0.4330273559233654
unet,WL,scale,HD95,-0.03937969465486099,-0.10456072399536821
unet,WL,scale,IoU,0.4959978075660287,0.44880022034781863
unet,WL,scale,MAE,0.3668655111338485,0.4100846228799852
unetpp,WL,boundary_freq_gap,Boundary_IoU,0.23752474837771984,0.23839549521990114
unetpp,WL,boundary_freq_gap,Dice,0.2686452841334524,0.1816467731070123
unetpp,WL,boundary_freq_gap,HD95,-0.01785709585678578,-0.035119937520975766
unetpp,WL,boundary_freq_gap,IoU,0.2686452841334524,0.20965660882536136
unetpp,WL,boundary_freq_gap,MAE,0.12595586887128113,0.17646166479951356
unetpp,WL,boundary_freq_std,Boundary_IoU,0.2132812138868775,0.14410740829676857
unetpp,WL,boundary_freq_std,Dice,0.2336141582623518,0.17140632941500203
unetpp,WL,boundary_freq_std,HD95,0.012436563423753195,-0.05542272296874878
unetpp,WL,boundary_freq_std,IoU,0.2336141582623518,0.17661078282078257
unetpp,WL,boundary_freq_std,MAE,0.11627724100756166,0.0454050812103407
unetpp,WL,boundary_hfr,Boundary_IoU,0.2263024135569708,0.20135840032599137
unetpp,WL,boundary_hfr,Dice,0.22723037355803313,0.16238680104294045
unetpp,WL,boundary_hfr,HD95,-0.04153463135323646,-0.06657241317060308
unetpp,WL,boundary_hfr,IoU,0.22723037355803313,0.1853803662806143
