epoch,train_loss,val_loss,val_dice,val_iou,lr,is_best
1,0.3292498027183572,0.2823930535997663,0.6394100206238883,0.5147463594164167,0.0001,1
2,0.2822540143314673,0.26428096053146183,0.6920465338797797,0.563393197173164,9.998903417374228e-05,1
3,0.26626497239482644,0.2386902989376159,0.7082890442439488,0.5842191707520258,9.995614150494293e-05,1
4,0.25344864415879154,0.23843792733691987,0.698251461982727,0.5743956798598879,9.990133642141359e-05,0
5,0.2417712616677187,0.2327552473261243,0.6849837938944499,0.5582784715152922,9.982464296247522e-05,0
6,0.2322237164998541,0.2742369011754081,0.7158766008558728,0.5916099366687593,9.972609476841367e-05,1
7,0.23151277832838954,0.24509501230149042,0.7290462703931899,0.6070910675185067,9.96057350657239e-05,1
8,0.22891163667853998,0.22210998208749863,0.70901312487466,0.5933642989113217,9.946361664814942e-05,0
9,0.22067653585453423,0.21571068990798223,0.7049763094811212,0.5873184680938721,9.929980185352524e-05,0
10,0.2183894893344568,0.21794096373376393,0.716209287870498,0.5972734746478853,9.911436253643443e-05,0
11,0.21468349254252958,0.21066653288546064,0.7202122018450783,0.5997998175166902,9.890738003669026e-05,0
12,0.21198759976090217,0.20225695357436224,0.7387169508706956,0.6271533807118733,9.867894514365799e-05,1
13,0.207873084289687,0.21162053857530866,0.7562736000333513,0.640123953138079,9.842915805643154e-05,1
14,0.20885855093294262,0.20510905583699543,0.7504526893297832,0.6355289084570749,9.81581283398829e-05,0
15,0.20285463098968778,0.197360522264526,0.7325034692173913,0.6237898758479528,9.786597487660334e-05,0
16,0.2025134585645734,0.20134749369961874,0.7190971828642345,0.6060445552780515,9.755282581475767e-05,0
17,0.19836388324596443,0.19600064640953427,0.754044264838809,0.6381616842179071,9.721881851187405e-05,0
18,0.19962708241477303,0.2028189134030115,0.7592923697971162,0.6410215491340274,9.686409947459456e-05,1
19,0.19996230666126524,0.19840687626884096,0.7446694731712341,0.6324017956143334,9.648882429441255e-05,0
20,0.19503697086961902,0.19296864980743045,0.7344978758266993,0.6205238450141181,9.609315757942502e-05,0
21,0.19730000091450556,0.19741775067079634,0.755840289592743,0.6417767774491083,9.567727288213003e-05,0
22,0.19293504615827484,0.19392801423867542,0.7295847546486628,0.6188796281814575,9.524135262330097e-05,0
23,0.1902776400349578,0.19690289752823967,0.7552966378983997,0.6469998257500785,9.478558801197063e-05,0
24,0.19055361340240556,0.19885513810884384,0.7402254797163463,0.6262558142344157,9.431017896156071e-05,0
25,0.1945639295237405,0.19806709530807676,0.7154418911252703,0.6089295699482873,9.381533400219315e-05,0
26,0.1926595814982239,0.19947497106733778,0.7439969778060913,0.6267506116912478,9.33012701892219e-05,0
