image,modal,model,frequency_metric,frequency_group,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,Dice,IoU,Boundary_IoU,HD95,MAE
gas_158f38b82da59ce2,WL,swin_unet,scale,mid,0.21551513671875,0.0004833119122143,0.0004782106320622,0.0002049769929488,0.0001426627133034,0.8692971639950678,0.7688113413304253,0.2442105263157894,19.964809435636653,0.0633769109845161
gas_1678b5e5182b088d,WL,swin_unet,scale,mid,0.2039337158203125,0.0001850775935074,0.000320154997804,0.0002175307877622,3.7525679299205215e-05,0.881924770082378,0.788788398565414,0.1428227360308285,15.157392838975072,0.0539899542927742
gas_16b113179c9267aa,WL,swin_unet,scale,low,0.0615234375,0.0001840421188979,0.0002853916850633,0.0002240063885489,0.0001761114290922,0.7980949141010376,0.6640249080101897,0.1758454106280193,12.0,0.023656727746129
gas_1726edbf713b7ed8,WL,swin_unet,scale,high,0.3987884521484375,0.0002643030062278,0.0004130316752443,0.000473576370021,0.0001432124897825,0.871094187479001,0.7716269841269842,0.0902394106813996,19.235384061671343,0.1146962717175483
gas_18dc528fd3ebb4ae,WL,swin_unet,scale,high,0.41534423828125,0.0005227114753349,0.0008506836777038,0.0007232423164428,0.0002430232370848,0.829891177915062,0.7092427321728373,0.1310368703479314,30.40147271396281,0.1311583220958709
gas_194b3005cde83e0e,WL,swin_unet,scale,low,0.0492706298828125,5.5270088788186565e-05,0.0002844228923203,0.0002447948674537,0.0003214574151819,0.5864532723635324,0.4148807116862111,0.0917312661498708,19.714204361412687,0.0288384892046451
gas_19a1b87987a36d93,WL,swin_unet,scale,low,0.1602020263671875,0.000485966577409,0.0004336389833066,0.000408390611538,0.0001028596651899,0.6593961851025306,0.4918650669011872,0.161906718717896,46.261205636779465,0.161212533712387
gas_19a4ba0bcfeac547,WL,swin_unet,scale,low,0.161285400390625,0.0002014774871176,0.0003901847278555,0.0003736525018294,0.0002131925571841,0.7769339683356932,0.6352346874342244,0.1121161628183765,17.78338164774098,0.0690768510103225
gas_1ae0438109f36953,WL,swin_unet,scale,high,0.9588775634765624,0.0003653926025118,0.0008375432849163,0.0006292667001988,0.0014962487917517,0.9956125267052264,0.9912633850751223,0.8357531760435571,1.4142135623730951,0.0083904657512903
gas_1d1328b7ac7bf8a5,WL,swin_unet,scale,high,0.4755706787109375,0.0003279759895998,0.0003719047034585,0.000247435406968,0.0002256170200341,0.8474743210918813,0.7353192528384812,0.1774575602052901,36.86189006052688,0.1296237260103225
gas_1e64d1109280f3b7,WL,swin_unet,scale,high,0.5747833251953125,0.000333612174164,0.0006494696504728,0.0003473726402003,0.0004304296390095,0.8777923784494087,0.7822014051522248,0.0525154457193292,22.02044399099072,0.1408641636371612
gas_1ea553c425da6f11,WL,swin_unet,scale,low,0.0789947509765625,0.000104050407932,0.0002343160502364,0.000232160332264,9.861297757483752e-05,0.8936649037920558,0.8077705451586655,0.3179530201342282,8.94427190999916,0.0188337061554193
gas_1f6937b3dc965b66,WL,swin_unet,scale,mid,0.305267333984375,0.0001862426860085,0.000227565910315,0.0001534139136889,0.0001047286768451,0.9455984800506648,0.8968106192564118,0.3565737051792829,12.041594578792296,0.0342394784092903
gas_2027f7ec39285af2,WL,swin_unet,scale,low,0.0594940185546875,3.788386043626551e-05,6.751874061365732e-05,3.0098168164595583e-05,5.018271630698031e-05,0.8915508704679763,0.8043227665706052,0.3352144469525959,9.758351596473362,0.0135323656722903
gas_20c78f9519a4e721,WL,swin_unet,scale,low,0.1252593994140625,0.0003221570837978,0.0008381617759066,0.0008745034225708,0.0001557761429868,0.7272727272727273,0.5714285714285714,0.1668124817731117,28.0,0.0587731190025806
gas_24f00f173bf2bcb7,WL,swin_unet,scale,low,0.0616912841796875,3.534154537077608e-05,9.896004117278105e-05,8.381472798009135e-05,5.39596511552582e-05,0.8949232585596222,0.8098290598290598,0.4368210405946255,15.556349186104043,0.0141900507733225
gas_25347,WL,swin_unet,scale,mid,0.2349853515625,0.0001633162404733,0.0003491195983291,0.0004493550059226,0.0002583524701494,0.7221335992023928,0.5651088398221112,0.0501988071570576,31.04834939252005,0.1110889688134193
gas_25368,WL,swin_unet,scale,mid,0.18359375,0.0001356606883946,0.0003224985287213,0.0002038679628546,9.132548847989858e-05,0.9548469252400912,0.9135952888618134,0.4474587912087912,6.0,0.0169603005051612
gas_25379,WL,swin_unet,scale,low,0.1378173828125,6.910785335692587e-05,0.0002236432294963,0.0002265070710339,0.0001686852196486,0.6866414835164835,0.5228134396653157,0.1242572978558512,70.7349897149875,0.0727439448237419
gas_25383,WL,swin_unet,scale,mid,0.2687835693359375,7.807036656206633e-05,4.902390942311189e-05,3.038466030096547e-05,7.095785248894411e-06,0.8513355326167926,0.7411524921252548,0.0744951970201921,18.027756377319943,0.0835259854793548
gas_25400,WL,swin_unet,scale,low,0.1307220458984375,8.168659964678762e-05,0.0002056570656662,0.0001836094387035,0.0001339112516742,0.6510110893672537,0.4825918762088975,0.1794166208035223,52.52412647194519,0.1279496103525161
gas_25456,WL,swin_unet,scale,low,0.0825958251953125,1.937015648737621e-05,9.684786396440137e-05,0.0001113195602044,4.753606609935144e-05,0.8272517321016166,0.7053958251280031,0.2123465972480476,13.94629120788809,0.0298150517046451
gas_25468,WL,swin_unet,scale,mid,0.2834625244140625,0.0002018484768346,0.0002428716035382,0.0002307825171194,0.000275708857927,0.8241698813858744,0.700925982706813,0.0941685555326602,25.495097567963924,0.0971978604793548
gas_25496,WL,swin_unet,scale,mid,0.2291107177734375,7.451445472089009e-05,0.000110282557543,0.0001256388449039,0.0001099719290555,0.9242767092290286,0.8592141837577943,0.2398200757575757,8.54400374531753,0.0373485349118709
gas_25501,WL,swin_unet,scale,low,0.0542144775390625,0.0001697400201353,0.0001407471520672,0.0001368510503072,9.405821225012688e-05,0.3366398016119032,0.2023853894893775,0.0071334214002642,55.0,0.2132493555545807
