prediction_metric,regression_model,n_groups,r2_mean,r2_std,adjusted_r2_mean,adjusted_r2_std
Boundary_IoU,A_scale,8,0.15002882689333893,0.10672472006076016,0.14799540303423203,0.10698004235755625
Boundary_IoU,B_scale_global,8,0.15684168515382535,0.10067526975520245,0.1527977603823809,0.10115812476601876
Boundary_IoU,C_scale_boundary,8,0.18769491765699026,0.09529998476574661,0.17986547108019008,0.09621853883577793
Dice,A_scale,8,0.2130615495239298,0.07384943635282262,0.21117892165197744,0.07402610964553273
Dice,B_scale_global,8,0.21915102950383325,0.07376554601159528,0.21540595050864783,0.07411933759918088
Dice,C_scale_boundary,8,0.23023494067759565,0.06657021393292062,0.22281551841906638,0.06721185454914153
HD95,A_scale,8,0.03714957198515881,0.034883102803381895,0.03484610206167825,0.03496655520243306
HD95,B_scale_global,8,0.04497971360949897,0.03470764142267732,0.040399280581247185,0.034874104930699736
HD95,C_scale_boundary,8,0.05271110435822775,0.03163125523314608,0.043580608978547944,0.03193613480165835
IoU,A_scale,8,0.24508662788896696,0.09201420097289538,0.24328061503702664,0.09223433064029468
IoU,B_scale_global,8,0.25260065961891237,0.090320322363269,0.2490160105043748,0.09075351335781705
IoU,C_scale_boundary,8,0.2640835333000304,0.08514499786893405,0.2569903625366572,0.08596567254718883
MAE,A_scale,8,0.09671252341002068,0.09698193330536138,0.09455154858564267,0.09721394749987183
MAE,B_scale_global,8,0.10865040249554984,0.10591642923807026,0.1043753444739458,0.1064244217044399
MAE,C_scale_boundary,8,0.13142091584203608,0.0881816054652725,0.1230490692477424,0.08903154865047995
