image,modal,split,model,prediction_path,image_path,mask_path,image_size,erode_dilate_radius,interior_area,boundary_inner_area,boundary_outer_area,exterior_area,total_fn_pixels,total_fp_pixels,total_error_pixels,interior_FN_pixels,boundary_FN_pixels,boundary_FP_pixels,exterior_FP_pixels,interior_FN,boundary_FN,boundary_FP,exterior_FP,interior_error_ratio,boundary_error_ratio,exterior_error_ratio,boundary_FN_error_ratio,boundary_FP_error_ratio,boundary_fp_fn_balance,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,low_dice,low_boundary_iou,high_hd95,high_dice_low_boundary,high_dice_high_hd95
gas_158f38b82da59ce2,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_158f38b82da59ce2.png,dataset\WL\test\images\gas_158f38b82da59ce2.jpg,dataset\WL\test\masks\gas_158f38b82da59ce2.png,256,5,11381,2743,2771,48641,316,3846,4162,19,297,1659,2187,0.001669449081803005,0.1082756106452789,0.5987008300252616,0.04496206903640961,0.004565112926477655,0.4699663623258049,0.5254685247477174,0.07135992311388756,0.39860643921191735,0.848159509202454,0.8692971639950678,0.7688113413304253,0.2442105263157894,19.964809435636653,0.0633769109845161,0.21551513671875,0.0004833119122143,0.0004782106320622,0.0002049769929488,0.0001426627133034,False,False,False,False,False
gas_1678b5e5182b088d,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1678b5e5182b088d.png,dataset\WL\test\images\gas_1678b5e5182b088d.jpg,dataset\WL\test\masks\gas_1678b5e5182b088d.png,256,5,11121,2244,2393,49778,148,3369,3517,2,146,1767,1602,0.0001798399424512184,0.06506238859180036,0.7384036773923944,0.032182892040660535,0.0005686664771111743,0.5439294853568382,0.4555018481660506,0.041512652829115725,0.5024168325277225,0.9236800836382645,0.881924770082378,0.788788398565414,0.1428227360308285,15.157392838975072,0.0539899542927742,0.2039337158203125,0.0001850775935074,0.000320154997804,0.0002175307877622,3.7525679299205215e-05,False,False,False,False,False
gas_16b113179c9267aa,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_16b113179c9267aa.png,dataset\WL\test\images\gas_16b113179c9267aa.jpg,dataset\WL\test\masks\gas_16b113179c9267aa.png,256,5,2820,1212,1359,60145,976,586,1562,427,549,444,142,0.15141843971631205,0.452970297029703,0.32671081677704195,0.0023609610108903485,0.2733674775928297,0.6357234314980794,0.09090909090909091,0.35147247119078107,0.28425096030729835,0.4471299093655589,0.7980949141010376,0.6640249080101897,0.1758454106280193,12.0,0.023656727746129,0.0615234375,0.0001840421188979,0.0002853916850633,0.0002240063885489,0.0001761114290922,False,False,False,False,False
gas_1726edbf713b7ed8,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1726edbf713b7ed8.png,dataset\WL\test\images\gas_1726edbf713b7ed8.jpg,dataset\WL\test\masks\gas_1726edbf713b7ed8.png,256,5,22969,3166,3314,36087,750,6780,7530,359,391,2367,4413,0.015629761852932213,0.12349968414403033,0.7142426071213036,0.12228780447252473,0.047675962815405044,0.3662682602921647,0.5860557768924303,0.05192563081009296,0.3143426294820717,0.8582306018854242,0.871094187479001,0.7716269841269842,0.0902394106813996,19.235384061671343,0.1146962717175483,0.3987884521484375,0.0002643030062278,0.0004130316752443,0.000473576370021,0.0001432124897825,False,True,False,True,False
gas_18dc528fd3ebb4ae,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_18dc528fd3ebb4ae.png,dataset\WL\test\images\gas_18dc528fd3ebb4ae.jpg,dataset\WL\test\masks\gas_18dc528fd3ebb4ae.png,256,5,23817,3403,3341,34975,6257,2358,8615,4092,2165,651,1707,0.17181005164378385,0.636203349985307,0.19485184076623766,0.04880629020729092,0.4749854904236796,0.32687173534532793,0.19814277423099247,0.2513058618688334,0.07556587347649449,0.23117897727272727,0.829891177915062,0.7092427321728373,0.1310368703479314,30.40147271396281,0.1311583220958709,0.41534423828125,0.0005227114753349,0.0008506836777038,0.0007232423164428,0.0002430232370848,False,False,False,False,False
gas_194b3005cde83e0e,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_194b3005cde83e0e.png,dataset\WL\test\images\gas_194b3005cde83e0e.jpg,dataset\WL\test\masks\gas_194b3005cde83e0e.png,256,5,2253,976,1124,61183,1882,0,1882,1030,852,0,0,0.4571682201509099,0.8729508196721312,0.0,0.0,0.5472901168969182,0.4527098831030818,0.0,0.4527098831030818,0.0,0.0,0.5864532723635324,0.4148807116862111,0.0917312661498708,19.714204361412687,0.0288384892046451,0.0492706298828125,5.5270088788186565e-05,0.0002844228923203,0.0002447948674537,0.0003214574151819,False,True,False,False,False
gas_19a1b87987a36d93,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_19a1b87987a36d93.png,dataset\WL\test\images\gas_19a1b87987a36d93.jpg,dataset\WL\test\masks\gas_19a1b87987a36d93.png,256,5,7881,2618,2913,52124,274,10304,10578,27,247,1885,8419,0.0034259611724400457,0.09434682964094729,0.6470992104359766,0.1615186862098074,0.0025524673851389677,0.20155038759689922,0.7958971450179618,0.023350349782567593,0.17820003781433164,0.8841463414634146,0.6593961851025306,0.4918650669011872,0.161906718717896,46.261205636779465,0.161212533712387,0.1602020263671875,0.000485966577409,0.0004336389833066,0.000408390611538,0.0001028596651899,False,False,False,False,False
gas_19a4ba0bcfeac547,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_19a4ba0bcfeac547.png,dataset\WL\test\images\gas_19a4ba0bcfeac547.jpg,dataset\WL\test\masks\gas_19a4ba0bcfeac547.png,256,5,8233,2337,2446,52520,2694,1810,4504,1412,1282,736,1074,0.17150491922749908,0.5485665382969619,0.3008994276369583,0.02044935262757045,0.31349911190053287,0.4480461811722913,0.23845470692717585,0.28463587921847244,0.16341030195381884,0.3647175421209118,0.7769339683356932,0.6352346874342244,0.1121161628183765,17.78338164774098,0.0690768510103225,0.161285400390625,0.0002014774871176,0.0003901847278555,0.0003736525018294,0.0002131925571841,False,False,False,False,False
gas_1ae0438109f36953,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1ae0438109f36953.png,dataset\WL\test\images\gas_1ae0438109f36953.jpg,dataset\WL\test\masks\gas_1ae0438109f36953.png,256,5,58220,4621,1150,1545,377,134,511,0,377,134,0,0.0,0.0815840727115343,0.11652173913043479,0.0,0.0,1.0,0.0,0.7377690802348337,0.2622309197651663,0.2622309197651663,0.9956125267052264,0.9912633850751223,0.8357531760435571,1.4142135623730951,0.0083904657512903,0.9588775634765624,0.0003653926025118,0.0008375432849163,0.0006292667001988,0.0014962487917517,False,False,False,False,False
gas_1d1328b7ac7bf8a5,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1d1328b7ac7bf8a5.png,dataset\WL\test\images\gas_1d1328b7ac7bf8a5.jpg,dataset\WL\test\masks\gas_1d1328b7ac7bf8a5.png,256,5,27762,3405,2790,31579,7543,917,8460,5627,1916,640,277,0.20268712628773145,0.5627019089574156,0.22939068100358423,0.008771652047246588,0.665130023640662,0.3021276595744681,0.032742316784869975,0.2264775413711584,0.07565011820330969,0.25039123630672927,0.8474743210918813,0.7353192528384812,0.1774575602052901,36.86189006052688,0.1296237260103225,0.4755706787109375,0.0003279759895998,0.0003719047034585,0.000247435406968,0.0002256170200341,False,False,False,False,False
gas_1e64d1109280f3b7,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1e64d1109280f3b7.png,dataset\WL\test\images\gas_1e64d1109280f3b7.jpg,dataset\WL\test\masks\gas_1e64d1109280f3b7.png,256,5,33684,3985,3417,24450,4535,4729,9264,2470,2065,1712,3017,0.07332858330364565,0.5181932245922208,0.5010242903131402,0.12339468302658486,0.26662348877374786,0.40770725388601037,0.32566925734024177,0.22290587219343697,0.1848013816925734,0.4532697908392904,0.8777923784494087,0.7822014051522248,0.0525154457193292,22.02044399099072,0.1408641636371612,0.5747833251953125,0.000333612174164,0.0006494696504728,0.0003473726402003,0.0004304296390095,False,True,False,True,False
gas_1ea553c425da6f11,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1ea553c425da6f11.png,dataset\WL\test\images\gas_1ea553c425da6f11.jpg,dataset\WL\test\masks\gas_1ea553c425da6f11.png,256,5,3757,1420,1570,58789,5,1223,1228,0,5,928,295,0.0,0.0035211267605633804,0.5910828025477707,0.0050179455340284744,0.0,0.759771986970684,0.24022801302931596,0.004071661237785016,0.755700325732899,0.9946409431939979,0.8936649037920558,0.8077705451586655,0.3179530201342282,8.94427190999916,0.0188337061554193,0.0789947509765625,0.000104050407932,0.0002343160502364,0.000232160332264,9.861297757483752e-05,False,False,False,False,False
gas_1f6937b3dc965b66,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1f6937b3dc965b66.png,dataset\WL\test\images\gas_1f6937b3dc965b66.jpg,dataset\WL\test\masks\gas_1f6937b3dc965b66.png,256,5,17279,2727,2875,42655,506,1742,2248,20,486,1008,734,0.0011574743908791018,0.1782178217821782,0.3506086956521739,0.017207830266088384,0.008896797153024912,0.6645907473309609,0.3265124555160142,0.21619217081850534,0.4483985765124555,0.6746987951807228,0.9455984800506648,0.8968106192564118,0.3565737051792829,12.041594578792296,0.0342394784092903,0.305267333984375,0.0001862426860085,0.000227565910315,0.0001534139136889,0.0001047286768451,False,False,False,False,False
