image,modal,split,model,prediction_path,image_path,mask_path,image_size,erode_dilate_radius,interior_area,boundary_inner_area,boundary_outer_area,exterior_area,total_fn_pixels,total_fp_pixels,total_error_pixels,interior_FN_pixels,boundary_FN_pixels,boundary_FP_pixels,exterior_FP_pixels,interior_FN,boundary_FN,boundary_FP,exterior_FP,interior_error_ratio,boundary_error_ratio,exterior_error_ratio,boundary_FN_error_ratio,boundary_FP_error_ratio,boundary_fp_fn_balance,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,low_dice,low_boundary_iou,high_hd95,high_dice_low_boundary,high_dice_high_hd95
gas_26092,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_26092.png,dataset\WL\test\images\gas_26092.jpg,dataset\WL\test\masks\gas_26092.png,256,5,13898,2571,2735,46332,3374,285,3659,1323,2051,249,36,0.09519355302921284,0.7977440684558538,0.09104204753199269,0.000777000777000777,0.36157420060125717,0.6285870456408855,0.009838753757857338,0.5605356654823722,0.06805138015851325,0.1082608695652174,0.8761796574624258,0.7796438846123941,0.0956290215220767,14.173876274650372,0.0564811863005161,0.2512969970703125,4.684563925249023e-05,9.968194060315408e-05,7.796911254870228e-05,3.321021927728054e-05,False,True,False,True,False
gas_36815,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_36815.png,dataset\WL\test\images\gas_36815.jpg,dataset\WL\test\masks\gas_36815.png,256,5,10555,2652,2801,49528,14,4146,4160,0,14,2594,1552,0.0,0.005279034690799397,0.9260978222063548,0.03133581004684219,0.0,0.6269230769230769,0.3730769230769231,0.0033653846153846156,0.6235576923076923,0.9946319018404908,0.8651555897041875,0.7623561272850372,0.0808163265306122,12.0,0.0629583895206451,0.2015228271484375,0.0001137784876662,0.0002071624018117,0.0001287032598986,0.0001626739023806,False,True,False,True,False
gas_5949f8f040a1bf90,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_5949f8f040a1bf90.png,dataset\WL\test\images\gas_5949f8f040a1bf90.jpg,dataset\WL\test\masks\gas_5949f8f040a1bf90.png,256,5,11919,2099,2248,49270,2166,1302,3468,928,1238,752,550,0.07785888077858881,0.5898046688899476,0.33451957295373663,0.01116297950071037,0.2675893886966551,0.5738177623990772,0.15859284890426759,0.35697808535178777,0.21683967704728951,0.3778894472361809,0.8709661905448949,0.771426137331743,0.0686716791979949,14.499620099739865,0.053471777588129,0.213897705078125,0.0002097574425904,0.0003749815329312,0.0002886992536332,7.956835713349738e-05,False,True,False,True,False
gas_26092,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_26092.png,dataset\WL\test\images\gas_26092.jpg,dataset\WL\test\masks\gas_26092.png,256,5,13898,2571,2735,46332,2283,2286,4569,919,1364,1115,1171,0.06612462224780544,0.5305328665888759,0.4076782449725777,0.02527410860744194,0.20113810461807835,0.5425694900415846,0.25629240534033704,0.29853359597286055,0.244035894068724,0.4497781363453005,0.8624347000158303,0.7581408293904814,0.0681818181818181,17.951189470793043,0.0692761465907096,0.2512969970703125,4.684563925249023e-05,9.968194060315408e-05,7.796911254870228e-05,3.321021927728054e-05,False,True,False,True,False
gas_27632,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_27632.png,dataset\WL\test\images\gas_27632.jpg,dataset\WL\test\masks\gas_27632.png,256,5,20429,3749,3904,37454,1026,6022,7048,214,812,2623,3399,0.01047530471388712,0.2165910909575887,0.671875,0.09075132162118865,0.03036322360953462,0.487372304199773,0.4822644721906924,0.1152099886492622,0.37216231555051077,0.7636098981077147,0.8672778388950007,0.7656580480856391,0.0957392197125256,21.80233518940373,0.1081991419196128,0.368927001953125,0.0001001102458393,0.0003371872479892,0.0004163662435959,0.0001160861125377,False,True,False,True,False
gas_8d28577af362e689,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_8d28577af362e689.png,dataset\WL\test\images\gas_8d28577af362e689.jpg,dataset\WL\test\masks\gas_8d28577af362e689.png,256,5,24905,2881,2765,34985,5093,447,5540,2822,2271,335,112,0.11331058020477816,0.7882679625130163,0.12115732368896925,0.0032013720165785338,0.5093862815884477,0.4703971119133574,0.020216606498194945,0.409927797833935,0.06046931407942238,0.12854950115118957,0.8910154446097799,0.8034516263360015,0.0879832412873738,21.93171219946131,0.084661990404129,0.423980712890625,0.000199303956082,0.000888126395718,0.0008369924236158,0.0010557619730717,False,True,False,True,False
gas_32934,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_32934.png,dataset\WL\test\images\gas_32934.jpg,dataset\WL\test\masks\gas_32934.png,256,5,32079,3849,3983,25625,132,7550,7682,3,129,3452,4098,9.351912466099317e-05,0.03351519875292284,0.8666834044689932,0.1599219512195122,0.00039052330122363966,0.46615464722728456,0.5334548294714918,0.016792501952616504,0.44936214527466806,0.9639765428651215,0.9036724467594118,0.8242723117632909,0.0868791697553743,25.11942946412396,0.1164700239896774,0.5482177734375,2.817744956459646e-05,0.0001146486407475,9.377259611594324e-05,9.609012193239132e-05,False,True,False,True,False
gas_25383,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_25383.png,dataset\WL\test\images\gas_25383.jpg,dataset\WL\test\masks\gas_25383.png,256,5,14894,2721,2869,45052,1930,3564,5494,1085,845,1697,1867,0.07284812676245468,0.3105475927967659,0.59149529452771,0.041441001509366956,0.19748816891153986,0.4626865671641791,0.33982526392428103,0.15380414998179834,0.3088824171823808,0.6675845790715972,0.8513355326167926,0.7411524921252548,0.0744951970201921,18.027756377319943,0.0835259854793548,0.2687835693359375,7.807036656206633e-05,4.902390942311189e-05,3.038466030096547e-05,7.095785248894411e-06,False,True,False,True,False
gas_2c5242c3a74d64a1,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_2c5242c3a74d64a1.png,dataset\WL\test\images\gas_2c5242c3a74d64a1.jpg,dataset\WL\test\masks\gas_2c5242c3a74d64a1.png,256,5,20900,3557,3503,37576,3233,3738,6971,1902,1331,1889,1849,0.09100478468899521,0.3741917346078156,0.5392520696545818,0.04920694060038322,0.272844642088653,0.46191364223210446,0.2652417156792426,0.1909338688853823,0.27097977334672213,0.5866459627329192,0.857747559459245,0.7509264406151566,0.0963315597871744,16.97056274847714,0.1071627885103225,0.3731842041015625,0.0003309755709125,0.001304315235315,0.0021777751058212,0.0008116907999321,False,True,False,True,False
gas_33871,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_33871.png,dataset\WL\test\images\gas_33871.jpg,dataset\WL\test\masks\gas_33871.png,256,5,40472,4205,4365,16494,2470,6842,9312,1508,962,3097,3745,0.037260328128088556,0.22877526753864447,0.7095074455899198,0.2270522614283982,0.16194158075601375,0.43588917525773196,0.4021692439862543,0.10330756013745704,0.3325816151202749,0.7629958117762996,0.9003231557833742,0.8187161169377312,0.0724966622162883,23.59766529988529,0.1426179856061935,0.6817169189453125,4.228933473671765e-05,0.0002434915778721,0.0001321435127414,0.0001121398059128,False,True,False,True,False
gas_89c5020ed9db1d57,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_89c5020ed9db1d57.png,dataset\WL\test\images\gas_89c5020ed9db1d57.jpg,dataset\WL\test\masks\gas_89c5020ed9db1d57.png,256,5,20600,2783,2575,39578,5860,7,5867,3372,2488,7,0,0.16368932038834952,0.89399928135106,0.0027184466019417475,0.0,0.5747400715868417,0.42525992841315835,0.0,0.4240668143855463,0.0011931140276120675,0.0028056112224448897,0.8563398275311402,0.7487712243074174,0.0780538302277432,17.0,0.0896444544196128,0.3567962646484375,0.000236565771878,0.0003682372187131,0.0003085612198859,0.0001779338635175,False,True,False,True,False
