epoch,learning_rate,train_loss,val_loss,DSC,mIoU
1,9.998914383200485e-05,7.498768,1.053849,0.7709,0.6545
2,9.99565800898935e-05,6.300523,0.968382,0.7775,0.6638
3,9.990232305719945e-05,5.756162,0.924568,0.7831,0.6746
4,9.982639653285048e-05,5.353335,0.88125,0.8015,0.7059
5,9.972883382072954e-05,5.046213,0.83709,0.8242,0.7419
6,9.960967771506667e-05,4.731962,0.828252,0.8225,0.7352
7,9.946898048166793e-05,4.522022,0.828808,0.8103,0.7191
8,9.930680383499e-05,4.291641,0.812683,0.8172,0.7339
9,9.912321891107009e-05,4.12462,0.792614,0.8218,0.7414
10,9.891830623632337e-05,3.982509,0.822637,0.8087,0.7239
11,9.869215569222143e-05,3.836759,0.776865,0.8284,0.7497
12,9.844486647586723e-05,3.726419,0.786485,0.8237,0.7434
13,9.817654705648407e-05,3.627008,0.796056,0.819,0.7405
14,9.788731512783731e-05,3.57998,0.821502,0.8074,0.73
15,9.75772975566101e-05,3.439743,0.809091,0.8202,0.7405
16,9.72466303267553e-05,3.34955,0.790393,0.8277,0.7455
17,9.689545847984862e-05,3.331801,0.776385,0.8274,0.7487
18,9.652393605146843e-05,3.289915,0.786171,0.8272,0.749
19,9.613222600363076e-05,3.144021,0.788371,0.8308,0.7513
20,9.572050015330873e-05,3.06229,0.797168,0.8288,0.7432
21,9.528893909706796e-05,3.025022,0.812596,0.8281,0.7481
22,9.483773213185093e-05,2.996548,0.836536,0.8232,0.7435
23,9.43670771719451e-05,2.927658,0.86209,0.8147,0.7355
24,9.387718066217123e-05,2.843826,0.818593,0.8309,0.7517
25,9.33682574873297e-05,2.804344,0.849441,0.8226,0.7448
26,9.284053087794506e-05,2.804247,0.826507,0.8293,0.7504
27,9.229423231234973e-05,2.75346,0.867059,0.8207,0.7381
28,9.17296014151499e-05,2.726728,0.845881,0.8271,0.748
29,9.114688585211833e-05,2.658666,0.80104,0.8386,0.7581
30,9.054634122155987e-05,2.58492,0.823519,0.8369,0.7548
31,8.992823094219768e-05,2.541693,0.897023,0.8283,0.7464
32,8.929282613762905e-05,2.532098,0.877329,0.8272,0.7507
33,8.864040551740155e-05,2.507728,0.855579,0.8249,0.7373
34,8.797125525476192e-05,2.531905,0.877191,0.8328,0.7514
35,8.728566886113101e-05,2.41868,0.879764,0.8318,0.7492
36,8.658394705735986e-05,2.405497,0.863554,0.8356,0.754
37,8.586639764182376e-05,2.361986,0.866818,0.8328,0.7531
38,8.51333353554116e-05,2.29207,0.882649,0.8366,0.7565
39,8.438508174347009e-05,2.26059,0.921463,0.8301,0.7504
40,8.362196501476348e-05,2.279329,0.862366,0.8372,0.7565
41,8.284431989751022e-05,2.237068,0.902066,0.8332,0.7548
42,8.205248749256015e-05,2.20059,0.909247,0.8331,0.7515
43,8.124681512377638e-05,2.206149,0.869196,0.8421,0.7623
44,8.042765618568758e-05,2.156725,0.91355,0.8352,0.7568
45,7.959536998847744e-05,2.090248,0.900627,0.837,0.758
46,7.87503216003794e-05,2.084046,0.940654,0.8309,0.7505
47,7.789288168754556e-05,2.060025,0.908104,0.8431,0.763
48,7.702342635146035e-05,2.025984,0.938349,0.831,0.7499
49,7.614233696396997e-05,1.999916,0.959864,0.831,0.7511
50,7.525000000000001e-05,2.003311,0.969243,0.831,0.7519
51,7.434680686803492e-05,1.986813,0.963461,0.8348,0.7558
52,7.343315373843317e-05,1.969868,0.967196,0.8343,0.7555
53,7.250944136965391e-05,1.939493,0.949378,0.8338,0.7548
54,7.15760749324711e-05,1.918319,0.980908,0.8336,0.755
55,7.06334638322521e-05,1.904056,1.001554,0.83,0.7512
56,6.96820215293791e-05,1.859957,1.01069,0.8281,0.7478
57,6.872216535789157e-05,1.832697,0.982169,0.831,0.7495
58,6.775431634242986e-05,1.82646,0.991265,0.8269,0.7481
59,6.677889901355988e-05,1.814701,0.975289,0.8405,0.7622
60,6.579634122155991e-05,1.772815,0.970088,0.8342,0.7563
61,6.480707394875136e-05,1.791593,0.980168,0.8347,0.7548
62,6.381153112045566e-05,1.75327,1.025247,0.8339,0.755
63,6.281014941466031e-05,1.726816,0.998439,0.8365,0.7569
64,6.180336807047746e-05,1.710626,1.0259,0.829,0.7504
65,6.0791628695479094e-05,1.694215,1.008574,0.8321,0.7546
66,5.977537507199338e-05,1.658686,0.997721,0.8368,0.7586
67,5.875505296244706e-05,1.646899,1.015234,0.8326,0.7543
68,5.7731109913839376e-05,1.616889,1.058547,0.8312,0.7524
69,5.6703995061433054e-05,1.636004,1.005876,0.8338,0.7552
70,5.5674158931748854e-05,1.61863,1.023914,0.8315,0.7525
71,5.464205324494961e-05,1.610771,1.047485,0.8296,0.751
72,5.360813071670101e-05,1.566707,1.022529,0.8335,0.7553
73,5.257284485959538e-05,1.531285,1.05256,0.8327,0.7538
74,5.1536649784226164e-05,1.50236,1.009677,0.837,0.7576
75,5.0499999999999994e-05,1.495794,1.055832,0.8365,0.7581
76,4.946335021577384e-05,1.47435,1.056837,0.8368,0.7575
77,4.842715514040461e-05,1.465604,1.04929,0.8347,0.7563
78,4.739186928329899e-05,1.468304,1.083585,0.8306,0.7512
79,4.635794675505037e-05,1.44034,1.082411,0.8347,0.7564
80,4.5325841068251155e-05,1.423653,1.087119,0.8299,0.7502
81,4.429600493856694e-05,1.415192,1.089703,0.8301,0.7523
82,4.326889008616064e-05,1.397864,1.084805,0.8299,0.752
83,4.224494703755293e-05,1.376977,1.097504,0.8255,0.7456
84,4.122462492800663e-05,1.372222,1.07213,0.8347,0.7564
85,4.020837130452091e-05,1.363949,1.13211,0.8327,0.7551
86,3.919663192952255e-05,1.347874,1.091126,0.8331,0.7575
87,3.8189850585339694e-05,1.347399,1.080478,0.8331,0.7544
88,3.718846887954436e-05,1.341231,1.097522,0.8278,0.75
89,3.6192926051248646e-05,1.335401,1.11192,0.8331,0.7558
90,3.5203658778440106e-05,1.315605,1.085878,0.8345,0.7574
91,3.422110098644013e-05,1.304058,1.079133,0.8325,0.7564
92,3.3245683657570155e-05,1.29234,1.119838,0.8328,0.7562
93,3.2277834642108455e-05,1.295225,1.107787,0.8328,0.756
94,3.1317978470620905e-05,1.264478,1.144592,0.8334,0.7552
95,3.036653616774789e-05,1.274544,1.122201,0.8343,0.757
96,2.9423925067528905e-05,1.260875,1.134741,0.8329,0.7538
97,2.8490558630346103e-05,1.252315,1.104549,0.8314,0.7527
98,2.7566846261566858e-05,1.240539,1.119676,0.8344,0.7561
99,2.665319313196509e-05,1.239936,1.098627,0.8359,0.7586
100,2.574999999999999e-05,1.237866,1.109022,0.8351,0.7571
101,2.485766303603006e-05,1.223628,1.115558,0.8331,0.7543
102,2.3976573648539673e-05,1.211583,1.098804,0.8349,0.7569
103,2.310711831245447e-05,1.205474,1.127523,0.8336,0.756
104,2.2249678399620632e-05,1.205277,1.099914,0.8338,0.756
105,2.1404630011522583e-05,1.193063,1.126028,0.8309,0.753
106,2.0572343814312444e-05,1.19496,1.115514,0.8331,0.7559
107,1.975318487622364e-05,1.175792,1.131089,0.8344,0.7572
108,1.8947512507439858e-05,1.173964,1.1171,0.8333,0.7562
109,1.8155680102489796e-05,1.170222,1.124743,0.8345,0.7567
110,1.737803498523652e-05,1.166461,1.140938,0.8312,0.7552
111,1.661491825652991e-05,1.167613,1.138405,0.8309,0.7541
112,1.5866664644588407e-05,1.153727,1.138046,0.833,0.7557
113,1.5133602358176246e-05,1.14664,1.14757,0.8328,0.7552
114,1.441605294264014e-05,1.140945,1.124153,0.8328,0.7555
115,1.3714331138868981e-05,1.142722,1.13902,0.8356,0.7577
116,1.3028744745238066e-05,1.130285,1.121321,0.8329,0.7557
117,1.235959448259844e-05,1.129995,1.113429,0.8371,0.7598
118,1.1707173862370935e-05,1.124026,1.130995,0.8293,0.7517
119,1.1071769057802287e-05,1.12058,1.131691,0.8352,0.7578
120,1.0453658778440109e-05,1.115601,1.138716,0.8355,0.758
121,9.853114147881652e-06,1.115403,1.131264,0.8368,0.7591
122,9.27039858485008e-06,1.114709,1.120255,0.8355,0.7578
123,8.705767687650256e-06,1.110052,1.135213,0.8328,0.755
124,8.159469122054926e-06,1.102237,1.121606,0.834,0.757
125,7.631742512670298e-06,1.106179,1.132529,0.8361,0.7591
126,7.122819337828756e-06,1.101327,1.120196,0.8353,0.7576
127,6.632922828054873e-06,1.099134,1.113878,0.8352,0.758
128,6.162267868149075e-06,1.100955,1.108766,0.836,0.758
129,5.711060902932044e-06,1.088971,1.122934,0.8343,0.7571
130,5.279499846691264e-06,1.09106,1.139007,0.8345,0.7572
131,4.86777399636922e-06,1.085387,1.128897,0.8367,0.7589
132,4.47606394853156e-06,1.08406,1.125552,0.8356,0.758
133,4.104541520151374e-06,1.086676,1.121909,0.8361,0.7579
134,3.7533696732446916e-06,1.076783,1.122161,0.8373,0.7591
135,3.422702443389901e-06,1.079829,1.118308,0.836,0.7585
136,3.112684872162672e-06,1.081868,1.143355,0.8324,0.7556
137,2.8234529435159246e-06,1.078975,1.118205,0.8363,0.7586
138,2.5551335241327626e-06,1.075885,1.127228,0.8368,0.759
139,2.3078443077785665e-06,1.072145,1.123772,0.8351,0.7575
140,2.0816937636766246e-06,1.075924,1.128722,0.8355,0.7581
141,1.8767810889299143e-06,1.070705,1.125605,0.8356,0.7575
142,1.6931961650100036e-06,1.065962,1.124855,0.8357,0.7575
143,1.5310195183320777e-06,1.067672,1.131179,0.8349,0.7569
144,1.3903222849333507e-06,1.076017,1.125347,0.8369,0.7587
145,1.271166179270472e-06,1.069569,1.131782,0.8353,0.758
146,1.1736034671495336e-06,1.06335,1.12399,0.8352,0.7576
147,1.0976769428005578e-06,1.070003,1.118893,0.8353,0.7574
148,1.04341991010651e-06,1.066571,1.115445,0.8364,0.759
149,1.0108561679951477e-06,1.071657,1.131597,0.8362,0.7588
150,1e-06,1.062489,1.133288,0.835,0.757
