epoch,learning_rate,train_loss,val_loss,DSC,mIoU
1,9.998914383200485e-05,8.062434,1.266322,0.6291,0.563
2,9.99565800898935e-05,6.784408,1.174603,0.6585,0.5961
3,9.990232305719945e-05,6.17624,1.065514,0.7133,0.6571
4,9.982639653285048e-05,5.731936,1.033364,0.6911,0.6302
5,9.972883382072954e-05,5.395862,0.991624,0.691,0.634
6,9.960967771506667e-05,5.100923,0.927543,0.7324,0.6931
7,9.946898048166793e-05,4.817302,0.883393,0.7367,0.6964
8,9.930680383499e-05,4.627574,0.861552,0.7648,0.7326
9,9.912321891107009e-05,4.421184,0.858853,0.7699,0.7414
10,9.891830623632337e-05,4.279243,0.813387,0.782,0.7564
11,9.869215569222143e-05,4.15225,0.823424,0.775,0.7429
12,9.844486647586723e-05,3.963574,0.833633,0.7662,0.7305
13,9.817654705648407e-05,3.88526,0.795869,0.781,0.7477
14,9.788731512783731e-05,3.778867,0.767189,0.7918,0.7634
15,9.75772975566101e-05,3.690234,0.789978,0.7806,0.7502
16,9.72466303267553e-05,3.617233,0.803994,0.7679,0.7443
17,9.689545847984862e-05,3.512144,0.804589,0.7712,0.758
18,9.652393605146843e-05,3.444899,0.779332,0.7825,0.7584
19,9.613222600363076e-05,3.336351,0.774575,0.7894,0.7653
20,9.572050015330873e-05,3.263649,0.832122,0.7633,0.7473
21,9.528893909706796e-05,3.2156,0.774825,0.7883,0.7645
22,9.483773213185093e-05,3.164905,0.783194,0.7891,0.7609
23,9.43670771719451e-05,3.08745,0.772485,0.7897,0.7649
24,9.387718066217123e-05,3.110612,0.769061,0.7893,0.7616
25,9.33682574873297e-05,3.011016,0.802638,0.7863,0.762
26,9.284053087794506e-05,2.969684,0.820016,0.7795,0.7559
27,9.229423231234973e-05,2.922555,0.805177,0.7842,0.7574
28,9.17296014151499e-05,2.845127,0.841669,0.7838,0.7588
29,9.114688585211833e-05,2.811558,0.832035,0.777,0.7528
30,9.054634122155987e-05,2.822216,0.852707,0.7859,0.7605
31,8.992823094219768e-05,2.807176,0.82896,0.7837,0.7577
32,8.929282613762905e-05,2.710039,0.816422,0.7825,0.7573
33,8.864040551740155e-05,2.659174,0.828769,0.7923,0.7637
34,8.797125525476192e-05,2.595395,0.871082,0.7848,0.7541
35,8.728566886113101e-05,2.581378,0.848116,0.7873,0.7648
36,8.658394705735986e-05,2.599405,0.857279,0.7869,0.7571
37,8.586639764182376e-05,2.609584,0.84623,0.7845,0.7623
38,8.51333353554116e-05,2.490624,0.82826,0.8008,0.7723
39,8.438508174347009e-05,2.46153,0.872076,0.7796,0.7574
40,8.362196501476348e-05,2.43214,0.865974,0.7936,0.767
41,8.284431989751022e-05,2.409949,0.866636,0.7928,0.7674
42,8.205248749256015e-05,2.392359,0.868585,0.7909,0.7665
43,8.124681512377638e-05,2.387179,0.865448,0.795,0.7668
44,8.042765618568758e-05,2.316405,0.874063,0.7928,0.7691
45,7.959536998847744e-05,2.330471,0.869078,0.7866,0.7665
46,7.87503216003794e-05,2.367301,0.876317,0.7834,0.7588
47,7.789288168754556e-05,2.27799,0.878671,0.793,0.7652
48,7.702342635146035e-05,2.220783,0.877073,0.7932,0.7686
49,7.614233696396997e-05,2.270364,0.898944,0.7854,0.7627
50,7.525000000000001e-05,2.19906,0.880986,0.7921,0.7654
